No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
12,RIZZO Tatiana Soledad,7,9.0,, 16,2.33
16,MERCADO Erika,5,3.0,6,14,1.67
 3,NIZETICH Paula Yamila,5,3.0,3,11,1.67
14,MAYER Victoria,4,5.0,1,10,1.33
 4,BULAICH SIMIAN Daniela,3,1.0,1,5,1.0
 1,RODRIGUEZ Elina Maria,1,1.0,1,3,0.33
15,FORTUNA Antonela,1,1.0,, 2,0.33
11,LAZCANO Julieta Constanza,,2.0,, 2,0.0
17,HERRERA RODRIGUEZ Candelaria Lucia,,1.0,, 1,0.0
2,GERMANIER Sabrina Soledad,,,-, ,
6,NOSACH Eugenia,,,-, ,
13,FARRIOL Bianca,,,-, ,
ls,,26,26.0,12,64,8.67
