No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 2,de OLIVEIRA SAAD GATTAZ Caroline,2.0,1,10,13,0.5
 7,MONTIBELLER Rosamaria,2.0,1,6,9,0.5
10,BRAGA GUIMARAES Gabriela,1.0,1,19,21,0.25
 8,SILVA CARNEIRO Macris Fernanda,1.0,, 9,10,0.25
15,da SILVA Ana Carolina,,, 19,19,0.0
16,RODRIGUES Fernanda,,, 17,17,0.0
 9,RATZKE Roberta Silva,,, 4,4,0.0
12,PEREIRA Natalia,,, 2,2,0.0
11,CAIXETA Tandara,, 1,1,2,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,6.0,4,87,97,1.5
