No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 5,CASTILLO Brenda,9,6.0,3,18,3.0
 7,MARTE FRICA Niverka Dharlenis,6,2.0,2,10,2.0
25,MARTINEZ CARO Larysmer,4,,, 4,1.33
14,RIVERA BRENS Prisilla,3,5.0,1,9,1.0
16,PENA ISABEL Yonkaira Paola,3,4.0,1,8,1.0
20,MARTINEZ Brayelin Elizabeth,2,5.0,3,10,0.67
 1,VARGAS VALDEZ Annerys Victoria,2,2.0,1,5,0.67
21,MARTINEZ Jineiry,1,2.0,3,6,0.33
18,de la CRUZ de PENA Bethania,1,,, 1,0.33
 6,DOMINGUEZ MARTINEZ Camil Inmaculada,,1.0,, 1,0.0
23,GONZALEZ LOPEZ Gaila Ceneida,,1.0,, 1,0.0
3,EVE MEJIA Lisvel Elisa,,,, ,
ls,,31,28.0,14,73,10.33
