No.,Name,Points,Errors,In-Play,Attempts,%
20,MARTINEZ Brayelin Elizabeth,15.0,5,14,34,29.41
14,RIVERA BRENS Prisilla,7.0,4,7,18,16.67
18,de la CRUZ de PENA Bethania,2.0,3,8,13,
21,MARTINEZ Jineiry,3.0,1,7,11,
1,VARGAS VALDEZ Annerys Victoria,4.0,1,, 5,
16,PENA ISABEL Yonkaira Paola,, 1,4,5,
23,GONZALEZ LOPEZ Gaila Ceneida,1.0,, 2,3,
7,MARTE FRICA Niverka Dharlenis,,, 2,2,
25,MARTINEZ CARO Larysmer,,, 1,1,
3,EVE MEJIA Lisvel Elisa,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
ls,,32.0,15,45,92,18.48
