No.,Name,Points,Errors,In-Play,Total Attempts,by Set
14,RIVERA BRENS Prisilla,, 1,11,12,0.0
 7,MARTE FRICA Niverka Dharlenis,, 2,6,8,0.0
20,MARTINEZ Brayelin Elizabeth,,, 7,7,0.0
21,MARTINEZ Jineiry,, 1,6,7,0.0
16,PENA ISABEL Yonkaira Paola,,, 6,6,0.0
 1,VARGAS VALDEZ Annerys Victoria,,, 5,5,0.0
18,de la CRUZ de PENA Bethania,, 1,4,5,0.0
25,MARTINEZ CARO Larysmer,, 1,1,2,0.0
3,EVE MEJIA Lisvel Elisa,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
23,GONZALEZ LOPEZ Gaila Ceneida,,,, ,
ls,,,6,46,52,0.0
