No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
10,BRAGA GUIMARAES Gabriela,11,7.0,1,19,3.67
15,da SILVA Ana Carolina,6,3.0,1,10,2.0
16,RODRIGUES Fernanda,6,3.0,1,10,2.0
18,BRAIT Camila,5,2.0,1,8,1.67
 8,SILVA CARNEIRO Macris Fernanda,3,5.0,1,9,1.0
 7,MONTIBELLER Rosamaria,3,2.0,, 5,1.0
12,PEREIRA Natalia,3,, 1,4,1.0
 9,RATZKE Roberta Silva,3,,, 3,1.0
 2,de OLIVEIRA SAAD GATTAZ Caroline,1,1.0,, 2,0.33
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,41,23.0,6,70,13.67
