Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
YEUM Hye Seon,,1.0,3.0,4.0,0.0,,,1.0,1.0,0.0,,,1.0,1.0,,,,,,,9.0,,30.0,39.0,3.0, 3,1.0,2.0,,3.0,0.33
KIM Heejin,2.0,2.0,3.0,7.0,0.67,,1.0,2.0,3.0,0.0,6.0,5.0,9.0,20.0,5.0,,,,,,,1.0,,1.0,0.0, 4,1.0,5.0,,6.0,0.33
AN Hyejin,,,4.0,4.0,0.0,,,4.0,4.0,0.0,,,,,,,,,,,10.0,,21.0,31.0,3.33, 7,4.0,2.0,2.0,8.0,1.33
LEE Soyoung,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
KIM Yeon Koung,1.0,1.0,8.0,10.0,0.33,,6.0,2.0,8.0,0.0,10.0,5.0,13.0,28.0,17.86,4.0,2.0,6.0,12.0,,,,5.0,5.0,0.0,10,11.0,5.0,3.0,19.0,3.67
KIM Su Ji,,,7.0,7.0,0.0,,2.0,2.0,4.0,0.0,,2.0,1.0,3.0,,1.0,,1.0,2.0,,,,2.0,2.0,0.0,11,3.0,1.0,1.0,5.0,1.0
PARK Jeongah,2.0,,4.0,6.0,0.67,1.0,3.0,2.0,6.0,0.33,4.0,2.0,15.0,21.0,9.52,12.0,3.0,14.0,29.0,41.38,,,1.0,1.0,0.0,13,3.0,5.0,,8.0,1.0
YANG Hyo Jin,,,9.0,9.0,0.0,1.0,2.0,1.0,4.0,0.33,4.0,,5.0,9.0,,1.0,,,1.0,,2.0,,1.0,3.0,0.67,14,3.0,,,3.0,1.0
JEONG Jiyun,,1.0,,1.0,0.0,,,,,,,3.0,1.0,4.0,,,,,,,,,,,,16,,,,,
PYO Seungju,,,1.0,1.0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,,3.0,,4.0,7.0,,,,,,,19,1.0,3.0,,4.0,0.33
PARK Eunjin,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
OH Jiyoung,,,,,,,,,,,,,,,,4.0,2.0,6.0,12.0,,2.0,,2.0,4.0,0.67, 9,8.0,7.0,2.0,17.0,2.67
,total,5.0,39.0,49.0,1.67,2.0,15.0,15.0,32.0,0.67,25.0,18.0,46.0,89.0,7.87,25.0,7.0,31.0,63.0,39.68,23.0,1.0,62.0,86.0,7.67,ls,35.0,30.0,8.0,73.0,11.67
