Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
de OLIVEIRA SAAD GATTAZ Caroline,,1.0,10.0,11.0,0.0,2.0,4.0,5.0,11.0,0.67,1.0,2.0,3.0,6.0,,1.0,,1.0,2.0,,2.0,,1.0,3.0,0.67, 2,1.0,,,1.0,0.33
MONTIBELLER Rosamaria,1.0,1.0,7.0,9.0,0.33,2.0,2.0,2.0,6.0,0.67,5.0,4.0,9.0,18.0,5.56,,,,,,,,1.0,1.0,0.0, 7,3.0,3.0,2.0,8.0,1.0
SILVA CARNEIRO Macris Fernanda,,1.0,4.0,5.0,0.0,,4.0,1.0,5.0,0.0,,,1.0,1.0,,,,,,,18.0,1.0,37.0,56.0,6.0, 8,5.0,5.0,3.0,13.0,1.67
RATZKE Roberta Silva,,,2.0,2.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,10.0,,13.0,23.0,3.33, 9,3.0,,,3.0,1.0
BRAGA GUIMARAES Gabriela,,1.0,8.0,9.0,0.0,,3.0,,3.0,0.0,10.0,5.0,17.0,32.0,15.63,13.0,,,13.0,,2.0,,2.0,4.0,0.67,10,2.0,2.0,,4.0,0.67
PEREIRA Natalia,,,3.0,3.0,0.0,,,1.0,1.0,0.0,4.0,4.0,4.0,12.0,,1.0,,,1.0,,,,1.0,1.0,0.0,12,2.0,1.0,1.0,4.0,0.67
da SILVA Ana Carolina,,2.0,10.0,12.0,0.0,1.0,8.0,7.0,16.0,0.33,2.0,1.0,3.0,6.0,,,,,,,,,3.0,3.0,0.0,15,1.0,1.0,1.0,3.0,0.33
RODRIGUES Fernanda,,1.0,5.0,6.0,0.0,1.0,3.0,4.0,8.0,0.33,10.0,3.0,12.0,25.0,28.0,16.0,2.0,19.0,37.0,43.24,,,2.0,2.0,0.0,16,6.0,4.0,,10.0,2.0
MENEZES OLIVEIRA de SOUZA Ana Cris.,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
BRAIT Camila,,,,,,,,,,,,,,,,5.0,,5.0,10.0,,,,8.0,8.0,0.0,18,13.0,5.0,2.0,20.0,4.33
CORREA Ana Beatriz,,,,,,,,1.0,1.0,0.0,,,1.0,1.0,,,,,,,,,,,,20,1.0,,,1.0,0.33
,total,7.0,49.0,57.0,0.33,6.0,24.0,22.0,52.0,2.0,32.0,19.0,50.0,101.0,12.87,36.0,2.0,25.0,63.0,57.14,32.0,1.0,68.0,101.0,10.67,ls,37.0,21.0,9.0,67.0,12.33
