Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
POULTER Jordyn,,1.0,11.0,12.0,0.0,1.0,3.0,5.0,9.0,0.33,,,1.0,1.0,,,,,,,36.0,1.0,34.0,71.0,12.0, 2,6.0,2.0,3.0,11.0,2.0
HANCOCK Micha,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
LARSON Jordan,,3.0,10.0,13.0,0.0,,2.0,4.0,6.0,0.0,12.0,3.0,12.0,27.0,33.33,6.0,,6.0,12.0,,,,5.0,5.0,0.0,10,5.0,3.0,3.0,11.0,1.67
DREWS Andrea,,3.0,6.0,9.0,0.0,1.0,1.0,2.0,4.0,0.33,14.0,4.0,6.0,24.0,41.67,,,,,,1.0,,1.0,2.0,0.33,11,,2.0,1.0,3.0,0.0
THOMPSON Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
BARTSCHHACKLEY Michelle,1.0,1.0,9.0,11.0,0.33,2.0,1.0,3.0,6.0,0.67,11.0,3.0,16.0,30.0,26.67,11.0,1.0,10.0,22.0,50.0,2.0,,3.0,5.0,0.67,14,3.0,7.0,,10.0,1.0
HILL Kimberly,1.0,,1.0,2.0,0.33,,,,,,,,,,,,,,,,,,,,,15,,,,,
AKINRADEWO Foluke,,1.0,15.0,16.0,0.0,1.0,1.0,9.0,11.0,0.33,4.0,1.0,1.0,6.0,,,,,,,,,,,,16,6.0,1.0,4.0,11.0,2.0
WASHINGTON Haleigh,,1.0,9.0,10.0,0.0,3.0,2.0,3.0,8.0,1.0,5.0,,4.0,9.0,,,,,,,,,,,,22,1.0,1.0,1.0,3.0,0.33
ROBINSON Kelsey,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
OGBOGU Chiaka,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
WONGORANTES Justine,,,,,,,,,,,,,,,,12.0,,4.0,16.0,75.0,5.0,,3.0,8.0,1.67, 4,7.0,5.0,7.0,19.0,2.33
,total,10.0,61.0,73.0,0.67,8.0,10.0,26.0,44.0,2.67,46.0,11.0,40.0,97.0,36.08,29.0,1.0,20.0,50.0,58.0,44.0,1.0,46.0,91.0,14.67,ls,28.0,21.0,19.0,68.0,9.33
