Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
WAIRIMU Jane Wacu,,,3.0,3.0,0.0,,,,,,1.0,1.0,2.0,4.0,,,,,,,10.0,3.0,17.0,30.0,3.33, 1,1.0,1.0,2.0,4.0,0.33
KASAYA Leonida,1.0,2.0,2.0,5.0,0.33,,,1.0,1.0,0.0,5.0,4.0,1.0,10.0,,9.0,2.0,6.0,17.0,52.94,1.0,,,1.0,0.33, 4,3.0,3.0,,6.0,1.0
KIPRONO Sharon Chepchumba,,1.0,3.0,4.0,0.0,,2.0,8.0,10.0,0.0,8.0,2.0,12.0,22.0,27.27,,,1.0,1.0,,1.0,1.0,1.0,3.0,0.33, 5,1.0,6.0,2.0,9.0,0.33
LUSENAKA Joy,,,1.0,1.0,0.0,,,,,,,,1.0,1.0,,,,,,,8.0,,18.0,26.0,2.67, 8,3.0,3.0,1.0,7.0,1.0
MURAMBI Noel,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
EMANIMAN Gladys Ekaru,,,2.0,2.0,0.0,,1.0,1.0,2.0,0.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,12,,1.0,,1.0,0.0
KAEI Lorine Chebet,,,5.0,5.0,0.0,,2.0,,2.0,0.0,1.0,,,1.0,,,,,,,,,,,,13,,3.0,,3.0,0.0
MOIM Mercy,,2.0,5.0,7.0,0.0,,1.0,1.0,2.0,0.0,3.0,2.0,6.0,11.0,9.09,16.0,2.0,12.0,30.0,53.33,,,,,,14,2.0,5.0,1.0,8.0,0.67
JEPKIRUI Pamela,,,1.0,1.0,0.0,,,,,,1.0,2.0,2.0,5.0,,2.0,,2.0,4.0,,,,,,,15,,2.0,,2.0,0.0
KUNDU Agripina Khayesi,,,,,,,,,,,,,,,,4.0,,3.0,7.0,,,,4.0,4.0,0.0,16,3.0,11.0,4.0,18.0,1.0
CHEMTAI Emmaculate,,,2.0,2.0,0.0,,1.0,1.0,2.0,0.0,,2.0,4.0,6.0,,,,,,,,,,,,18,,,,,
MUKUVILANI Edith,,,5.0,5.0,0.0,1.0,4.0,3.0,8.0,0.33,2.0,,3.0,5.0,,,,,,,,,3.0,3.0,0.0,19,,,,,
,total,5.0,29.0,35.0,0.33,1.0,11.0,15.0,27.0,0.33,22.0,15.0,33.0,70.0,10.0,31.0,4.0,24.0,59.0,52.54,20.0,4.0,43.0,67.0,6.67,ls,13.0,35.0,10.0,58.0,4.33
