Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VARGAS VALDEZ Annerys Victoria,1.0,,7.0,8.0,0.33,,,,,,3.0,,,3.0,,,,,,,1.0,,,1.0,0.33,1,,,,,
EVE MEJIA Lisvel Elisa,,3.0,5.0,8.0,0.0,6.0,7.0,6.0,19.0,2.0,7.0,,1.0,8.0,,2.0,,,2.0,,,,,,, 3,,,2.0,2.0,0.0
MARTE FRICA Niverka Dharlenis,,,17.0,17.0,0.0,1.0,1.0,5.0,7.0,0.33,,,2.0,2.0,,,,,,,26.0,1.0,28.0,55.0,8.67, 7,,2.0,3.0,5.0,0.0
RIVERA BRENS Prisilla,1.0,1.0,7.0,9.0,0.33,2.0,3.0,,5.0,0.67,9.0,1.0,8.0,18.0,44.44,5.0,1.0,10.0,16.0,31.25,,,,,,14,8.0,1.0,7.0,16.0,2.67
PENA ISABEL Yonkaira Paola,,,2.0,2.0,0.0,,1.0,,1.0,0.0,2.0,4.0,2.0,8.0,,4.0,,5.0,9.0,,,,1.0,1.0,0.0,16,1.0,1.0,,2.0,0.33
de la CRUZ de PENA Bethania,1.0,2.0,6.0,9.0,0.33,2.0,2.0,1.0,5.0,0.67,5.0,5.0,6.0,16.0,,2.0,,,2.0,,,,1.0,1.0,0.0,18,,,2.0,2.0,0.0
MARTINEZ Brayelin Elizabeth,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
MARTINEZ Jineiry,1.0,1.0,9.0,11.0,0.33,2.0,1.0,4.0,7.0,0.67,4.0,3.0,2.0,9.0,,1.0,,,1.0,,,,,,,21,,,2.0,2.0,0.0
GONZALEZ LOPEZ Gaila Ceneida,3.0,1.0,5.0,9.0,1.0,,2.0,1.0,3.0,0.0,4.0,,6.0,10.0,,,,,,,,,2.0,2.0,0.0,23,3.0,,1.0,4.0,1.0
MARTINEZ CARO Larysmer,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,25,,1.0,1.0,2.0,0.0
CASTILLO Brenda,,,,,,,,,,,,,,,,4.0,,5.0,9.0,,2.0,,4.0,6.0,0.67, 5,3.0,2.0,4.0,9.0,1.0
DOMINGUEZ MARTINEZ Camil Inmaculada,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
,total,8.0,58.0,73.0,2.33,13.0,17.0,17.0,47.0,4.33,34.0,13.0,27.0,74.0,28.38,18.0,1.0,21.0,40.0,45.0,29.0,1.0,36.0,66.0,9.67,ls,15.0,7.0,22.0,44.0,5.0
