Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
de OLIVEIRA SAAD GATTAZ Caroline,,- 1,7.0,8.0,0.0,6.0,5.0,4.0,15.0,2.0,4.0,1.0,6.0,11.0,,,,,,,,,1.0,1.0,0.0, 2,1.0,,1.0,2.0,0.33
MONTIBELLER Rosamaria,,-,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,7,,,,,
SILVA CARNEIRO Macris Fernanda,,- 2,4.0,6.0,0.0,,,3.0,3.0,0.0,3.0,,,3.0,,,,,,,27.0,1.0,27.0,55.0,9.0, 8,5.0,2.0,1.0,8.0,1.67
RATZKE Roberta Silva,,-,5.0,5.0,0.0,1.0,1.0,2.0,4.0,0.33,,,,,,,,,,,9.0,,16.0,25.0,3.0, 9,,2.0,,2.0,0.0
BRAGA GUIMARAES Gabriela,,-,17.0,17.0,0.0,2.0,3.0,4.0,9.0,0.67,9.0,5.0,10.0,24.0,16.67,20.0,1.0,4.0,25.0,80.0,,,,,,10,6.0,4.0,2.0,12.0,2.0
CAIXETA Tandara,,- 1,2.0,3.0,0.0,,,4.0,4.0,0.0,6.0,2.0,8.0,16.0,,,,,,,1.0,,1.0,2.0,0.33,11,,2.0,,2.0,0.0
PEREIRA Natalia,,-,5.0,5.0,0.0,1.0,,1.0,2.0,0.33,6.0,2.0,9.0,17.0,23.53,,,,,,,,,,,12,2.0,2.0,4.0,8.0,0.67
da SILVA Ana Carolina,1.0,,17.0,18.0,0.33,6.0,3.0,5.0,14.0,2.0,6.0,3.0,5.0,14.0,,,,,,,2.0,,1.0,3.0,0.67,15,,,1.0,1.0,0.0
RODRIGUES Fernanda,,- 1,10.0,11.0,0.0,,4.0,4.0,8.0,0.0,13.0,1.0,14.0,28.0,42.86,17.0,,4.0,21.0,80.95,,,1.0,1.0,0.0,16,3.0,14.0,4.0,21.0,1.0
MENEZES OLIVEIRA de SOUZA Ana Cris.,,-,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,17,,,,,
BRAIT Camila,,-,,,,,,,,,,,,,,4.0,,3.0,7.0,,,,2.0,2.0,0.0,18,14.0,1.0,6.0,21.0,4.67
CORREA Ana Beatriz,,-,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
,total,5,69.0,75.0,0.33,16.0,16.0,27.0,59.0,5.33,47.0,14.0,52.0,113.0,29.2,41.0,1.0,11.0,53.0,77.36,39.0,1.0,49.0,89.0,13.0,ls,31.0,27.0,19.0,77.0,10.33
