Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KUROGO Ai,,,3.0,3.0,0.0,1.0,1.0,3.0,5.0,0.33,5.0,7.0,5.0,17.0,,1.0,,1.0,2.0,,,,2.0,2.0,0.0, 1,3.0,3.0,,6.0,1.0
TASHIRO Kanami,,,9.0,9.0,0.0,,2.0,,2.0,0.0,1.0,,2.0,3.0,,,,,,,21.0,,33.0,54.0,7.0, 3,6.0,4.0,3.0,13.0,2.0
ISHIKAWA Mayu,1.0,2.0,8.0,11.0,0.33,,2.0,1.0,3.0,0.0,11.0,7.0,22.0,40.0,10.0,14.0,1.0,2.0,17.0,82.35,,,1.0,1.0,0.0, 4,6.0,5.0,3.0,14.0,2.0
SHIMAMURA Haruyo,,,3.0,3.0,0.0,,4.0,2.0,6.0,0.0,1.0,,4.0,5.0,,1.0,,,1.0,,,,1.0,1.0,0.0, 5,,1.0,,1.0,0.0
ISHII Yuki,,,9.0,9.0,0.0,,1.0,2.0,3.0,0.0,11.0,10.0,14.0,35.0,2.86,18.0,,11.0,29.0,62.07,,,2.0,2.0,0.0, 8,4.0,7.0,4.0,15.0,1.33
OKUMURA Mai,,,5.0,5.0,0.0,,,2.0,2.0,0.0,1.0,1.0,,2.0,,1.0,,,1.0,,,,1.0,1.0,0.0, 9,1.0,1.0,,2.0,0.33
ARAKI Erika,,,10.0,10.0,0.0,1.0,4.0,4.0,9.0,0.33,4.0,2.0,4.0,10.0,,1.0,,,1.0,,,1.0,2.0,3.0,0.0,11,2.0,2.0,1.0,5.0,0.67
MOMII Aki,,,5.0,5.0,0.0,,,2.0,2.0,0.0,1.0,,1.0,2.0,,,,,,,14.0,,33.0,47.0,4.67,12,1.0,6.0,3.0,10.0,0.33
HAYASHI Kotona,,1.0,3.0,4.0,0.0,,1.0,3.0,4.0,0.0,8.0,2.0,5.0,15.0,,9.0,,3.0,12.0,,1.0,,3.0,4.0,0.33,15,14.0,1.0,3.0,18.0,4.67
YAMADA Nichika,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
KOBATA Mako,,,,,,,,1.0,1.0,0.0,,,,,,4.0,,1.0,5.0,,2.0,,6.0,8.0,0.67, 6,10.0,3.0,,13.0,3.33
,total,3.0,55.0,59.0,0.33,2.0,15.0,20.0,37.0,0.67,43.0,29.0,57.0,129.0,10.85,49.0,1.0,18.0,68.0,72.06,38.0,1.0,84.0,123.0,12.67,ls,47.0,33.0,17.0,97.0,15.67
