Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KUROGO Ai,,- 2,11.0,13.0,0.0,2.0,6.0,6.0,14.0,0.4,10.0,2.0,25.0,37.0,21.62,15.0,,20.0,35.0,42.86,2.0,,4.0,6.0,0.4, 1,14.0,4.0,3.0,21.0,2.8
KOGA Sarina,,- 2,15.0,17.0,0.0,1.0,2.0,5.0,8.0,0.2,26.0,8.0,36.0,70.0,25.71,,,,,,,,4.0,4.0,0.0, 2,13.0,5.0,4.0,22.0,2.6
TASHIRO Kanami,,-,6.0,6.0,0.0,,,,,,,,,,,,,,,,1.0,,10.0,11.0,0.2, 3,,2.0,2.0,4.0,0.0
ISHIKAWA Mayu,,- 2,14.0,16.0,0.0,2.0,3.0,8.0,13.0,0.4,21.0,9.0,25.0,55.0,21.82,29.0,,10.0,39.0,74.36,1.0,,5.0,6.0,0.2, 4,17.0,9.0,2.0,28.0,3.4
SHIMAMURA Haruyo,,-,10.0,10.0,0.0,1.0,7.0,19.0,27.0,0.2,6.0,1.0,7.0,14.0,,,,1.0,1.0,,1.0,,,1.0,0.2, 5,4.0,1.0,2.0,7.0,0.8
ISHII Yuki,,-,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,8,,,,,
ARAKI Erika,2.0,,16.0,18.0,0.4,3.0,6.0,7.0,16.0,0.6,8.0,5.0,4.0,17.0,,,,,,,1.0,,,1.0,0.2,11,1.0,2.0,1.0,4.0,0.2
MOMII Aki,,-,11.0,11.0,0.0,1.0,1.0,7.0,9.0,0.2,,,2.0,2.0,,,,,,,51.0,,79.0,130.0,10.2,12,11.0,7.0,7.0,25.0,2.2
HAYASHI Kotona,,- 2,7.0,9.0,0.0,,,3.0,3.0,0.0,,2.0,3.0,5.0,,,,,,,1.0,,3.0,4.0,0.2,15,1.0,,,1.0,0.2
YAMADA Nichika,,-,,,,,1.0,,1.0,0.0,,,1.0,1.0,,,,,,,,,,,,19,,1.0,,1.0,0.0
KOBATA Mako,,-,,,,,,,,,,,,,,10.0,,5.0,15.0,,5.0,,9.0,14.0,1.0, 6,18.0,5.0,2.0,25.0,3.6
OKUMURA Mai,,-,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
,total,8,95.0,105.0,0.4,10.0,26.0,55.0,91.0,2.0,71.0,27.0,103.0,201.0,21.89,54.0,,36.0,90.0,60.0,63.0,,114.0,177.0,12.6,ls,79.0,36.0,23.0,138.0,15.8
