Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KUROGO Ai,2.0,,10.0,12.0,0.67,1.0,1.0,4.0,6.0,0.33,9.0,5.0,12.0,26.0,15.38,2.0,,2.0,4.0,,2.0,,2.0,4.0,0.67, 1,7.0,10.0,,17.0,2.33
TASHIRO Kanami,,- 1,8.0,9.0,0.0,,1.0,,1.0,0.0,1.0,,,1.0,,,,,,,13.0,1.0,8.0,22.0,4.33, 3,3.0,2.0,,5.0,1.0
ISHIKAWA Mayu,,-,9.0,9.0,0.0,,1.0,2.0,3.0,0.0,13.0,9.0,8.0,30.0,13.33,15.0,,9.0,24.0,62.5,,,5.0,5.0,0.0, 4,10.0,9.0,,19.0,3.33
SHIMAMURA Haruyo,,-,10.0,10.0,0.0,,2.0,5.0,7.0,0.0,4.0,,4.0,8.0,,1.0,,,1.0,,,,,,,5,,,-,,
ISHII Yuki,,-,5.0,5.0,0.0,,,3.0,3.0,0.0,8.0,7.0,4.0,19.0,5.26,15.0,1.0,2.0,18.0,83.33,,,1.0,1.0,0.0, 8,3.0,3.0,1,7.0,1.0
ARAKI Erika,,-,11.0,11.0,0.0,1.0,3.0,6.0,10.0,0.33,3.0,2.0,8.0,13.0,,,,,,,,,3.0,3.0,0.0,11,,1.0,,1.0,0.0
MOMII Aki,,-,2.0,2.0,0.0,,1.0,4.0,5.0,0.0,1.0,,1.0,2.0,,,,,,,22.0,1.0,40.0,63.0,7.33,12,6.0,5.0,1,12.0,2.0
HAYASHI Kotona,,- 1,5.0,6.0,0.0,,2.0,,2.0,0.0,5.0,,3.0,8.0,,5.0,1.0,2.0,8.0,,,,,,,15,2.0,2.0,1,5.0,0.67
YAMADA Nichika,,-,,,,,,,,,,,,,,,,,,,,,,,,19,,,-,,
KOBATA Mako,,-,,,,,,,,,,,,,,10.0,1.0,3.0,14.0,,5.0,,2.0,7.0,1.67, 6,8.0,6.0,,14.0,2.67
OKUMURA Mai,,-,,,,,,,,,,,,,,,,,,,,,,,,9,,,-,,
,total,2,60.0,64.0,0.67,2.0,11.0,24.0,37.0,0.67,44.0,23.0,40.0,107.0,19.63,48.0,3.0,18.0,69.0,69.57,42.0,2.0,61.0,105.0,14.0,ls,39.0,38.0,3,80.0,13.0
