Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
EVE MEJIA Lisvel Elisa,1.0,1.0,15.0,17.0,0.2,1.0,7.0,2.0,10.0,0.2,1.0,2.0,1.0,4.0,,,,,,,1.0,,,1.0,0.2, 3,3.0,1.0,,4.0,0.6
MARTE FRICA Niverka Dharlenis,3.0,2.0,8.0,13.0,0.6,,4.0,7.0,11.0,0.0,,,2.0,2.0,,,,,,,37.0,,50.0,87.0,7.4, 7,3.0,2.0,1.0,6.0,0.6
VARGAS VALDEZ Annerys Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
RIVERA BRENS Prisilla,,1.0,7.0,8.0,0.0,1.0,1.0,2.0,4.0,0.2,8.0,,8.0,16.0,,5.0,3.0,8.0,16.0,,,,,,,14,3.0,,1.0,4.0,0.6
PENA ISABEL Yonkaira Paola,2.0,2.0,16.0,20.0,0.4,,4.0,3.0,7.0,0.0,14.0,5.0,17.0,36.0,25.0,14.0,2.0,8.0,24.0,58.33,1.0,,1.0,2.0,0.2,16,11.0,5.0,1.0,17.0,2.2
de la CRUZ de PENA Bethania,,1.0,4.0,5.0,0.0,,,1.0,1.0,0.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,3.0,,,,,,,18,,,,,
MARTINEZ Brayelin Elizabeth,,1.0,16.0,17.0,0.0,2.0,3.0,5.0,10.0,0.4,18.0,6.0,23.0,47.0,25.53,4.0,,13.0,17.0,,,,1.0,1.0,0.0,20,13.0,10.0,5.0,28.0,2.6
MARTINEZ Jineiry,1.0,3.0,11.0,15.0,0.2,3.0,3.0,7.0,13.0,0.6,9.0,3.0,7.0,19.0,,,,1.0,1.0,,,,3.0,3.0,0.0,21,4.0,5.0,,9.0,0.8
GONZALEZ LOPEZ Gaila Ceneida,,3.0,2.0,5.0,0.0,2.0,3.0,3.0,8.0,0.4,4.0,4.0,8.0,16.0,,,,,,,1.0,,2.0,3.0,0.2,23,4.0,1.0,,5.0,0.8
MARTINEZ CARO Larysmer,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,25,,,1.0,1.0,0.0
CASTILLO Brenda,,,,,,,,,,,,,,,,14.0,1.0,4.0,19.0,,9.0,,16.0,25.0,1.8, 5,16.0,4.0,2.0,22.0,3.2
DOMINGUEZ MARTINEZ Camil Inmaculada,,,,,,,,,,,,,,,,,,,,,4.0,,8.0,12.0,0.8, 6,,2.0,,2.0,0.0
,total,14.0,79.0,100.0,1.4,9.0,25.0,30.0,64.0,1.8,55.0,21.0,67.0,143.0,23.78,39.0,7.0,36.0,82.0,47.56,53.0,,81.0,134.0,10.6,ls,57.0,30.0,11.0,98.0,11.4
