Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
LEE Soyoung,,1.0,,1.0,0.0,,1.0,,1.0,0.0,3.0,1.0,2.0,6.0,,5.0,3.0,3.0,11.0,,,,,,,1,,,,,
YEUM Hye Seon,4.0,2.0,15.0,21.0,0.8,,3.0,3.0,6.0,0.0,1.0,1.0,,2.0,,,,,,,39.0,1.0,56.0,96.0,7.8, 3,11.0,3.0,1.0,15.0,2.2
KIM Heejin,,3.0,7.0,10.0,0.0,1.0,3.0,6.0,10.0,0.2,15.0,8.0,21.0,44.0,15.91,,,,,,1.0,,,1.0,0.2, 4,2.0,3.0,1.0,6.0,0.4
AN Hyejin,,2.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,4.0,,15.0,19.0,0.8, 7,1.0,,,1.0,0.2
KIM Yeon Koung,1.0,1.0,14.0,16.0,0.2,3.0,3.0,5.0,11.0,0.6,16.0,4.0,14.0,34.0,35.29,22.0,1.0,7.0,30.0,73.33,2.0,,8.0,10.0,0.4,10,19.0,2.0,2.0,23.0,3.8
KIM Su Ji,,,14.0,14.0,0.0,1.0,5.0,7.0,13.0,0.2,1.0,2.0,1.0,4.0,,,,,,,1.0,,,1.0,0.2,11,3.0,1.0,,4.0,0.6
PARK Jeongah,2.0,2.0,10.0,14.0,0.4,,4.0,6.0,10.0,0.0,14.0,7.0,20.0,41.0,17.07,8.0,2.0,9.0,19.0,,1.0,,1.0,2.0,0.2,13,5.0,6.0,,11.0,1.0
YANG Hyo Jin,,,15.0,15.0,0.0,1.0,8.0,10.0,19.0,0.2,5.0,,5.0,10.0,,,,,,,,,2.0,2.0,0.0,14,2.0,2.0,,4.0,0.4
JEONG Jiyun,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
PYO Seungju,,1.0,1.0,2.0,0.0,,1.0,1.0,2.0,0.0,,3.0,4.0,7.0,,3.0,,1.0,4.0,,,,1.0,1.0,0.0,19,6.0,,,6.0,1.2
PARK Eunjin,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
OH Jiyoung,,,,,,,,,,,,,,,,14.0,1.0,6.0,21.0,,4.0,,4.0,8.0,0.8, 9,13.0,8.0,,21.0,2.6
,total,12.0,78.0,97.0,1.4,6.0,28.0,38.0,72.0,1.2,55.0,26.0,67.0,148.0,19.59,52.0,7.0,26.0,85.0,61.18,52.0,1.0,87.0,140.0,10.4,ls,62.0,25.0,4.0,91.0,12.4
