Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
WAIRIMU Jane Wacu,2.0,,10.0,12.0,0.67,,2.0,2.0,4.0,0.0,1.0,2.0,3.0,6.0,,,,,,,28.0,,41.0,69.0,9.33, 1,5.0,5.0,4.0,14.0,1.67
KASAYA Leonida,,-,7.0,7.0,0.0,1.0,,3.0,4.0,0.33,10.0,6.0,5.0,21.0,19.05,3.0,2.0,5.0,10.0,,,,,,, 4,1.0,2.0,1.0,4.0,0.33
KIPRONO Sharon Chepchumba,,- 1,5.0,6.0,0.0,2.0,1.0,3.0,6.0,0.67,12.0,5.0,14.0,31.0,22.58,,,,,,,,1.0,1.0,0.0, 5,2.0,7.0,3.0,12.0,0.67
MURAMBI Noel,,-,1.0,1.0,0.0,,1.0,,1.0,0.0,1.0,,1.0,2.0,,,1.0,1.0,2.0,,,,,,,10,1.0,1.0,,2.0,0.33
EMANIMAN Gladys Ekaru,,- 3,8.0,11.0,0.0,2.0,3.0,4.0,9.0,0.67,2.0,,2.0,4.0,,,,1.0,1.0,,,,,,,12,1.0,1.0,,2.0,0.33
KAEI Lorine Chebet,,-,5.0,5.0,0.0,,1.0,,1.0,0.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,13,1.0,2.0,2.0,5.0,0.33
MOIM Mercy,1.0,1,12.0,14.0,0.33,,,3.0,3.0,0.0,7.0,4.0,6.0,17.0,17.65,13.0,3.0,4.0,20.0,65.0,,,1.0,1.0,0.0,14,4.0,4.0,1.0,9.0,1.33
JEPKIRUI Pamela,,-,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
KUNDU Agripina Khayesi,,-,,,,,,,,,,,,,,9.0,2.0,19.0,30.0,30.0,2.0,,2.0,4.0,0.67,16,7.0,8.0,5.0,20.0,2.33
CHEMTAI Emmaculate,,-,,,,,,2.0,2.0,0.0,,1.0,,1.0,,,,,,,,,,,,18,,,,,
MUKUVILANI Edith,,- 2,3.0,5.0,0.0,1.0,,,1.0,0.33,3.0,1.0,6.0,10.0,,,,1.0,1.0,,3.0,,,3.0,1.0,19,1.0,1.0,,2.0,0.33
LUSENAKA Joy,,-,,,,,,,,,,,,,,,,,,,1.0,,3.0,4.0,0.33,8,,,,,
,total,7,51.0,61.0,1.0,6.0,8.0,17.0,31.0,2.0,36.0,20.0,37.0,93.0,17.2,26.0,8.0,31.0,65.0,40.0,34.0,,48.0,82.0,11.33,ls,23.0,31.0,16.0,70.0,7.67
