Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
YEUM Hye Seon,,2.0,13.0,15.0,0.0,1.0,6.0,2.0,9.0,0.33,,-,,,,,,,,,32.0,,38.0,70.0,10.67, 3,5.0,4.0,1.0,10.0,1.67
KIM Heejin,4.0,2.0,10.0,16.0,1.33,1.0,2.0,6.0,9.0,0.33,15.0,,9.0,24.0,62.5,,,,,,1.0,,,1.0,0.33, 4,6.0,3.0,,9.0,2.0
PARK Eunjin,,,5.0,5.0,0.0,1.0,4.0,,5.0,0.33,1.0,,2.0,3.0,,1.0,,,1.0,,,,,,,8,,,,,
LEE Soyoung,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,1,,,,,
KIM Yeon Koung,1.0,,11.0,12.0,0.33,2.0,,6.0,8.0,0.67,13.0,4,11.0,28.0,32.14,12.0,1.0,3.0,16.0,75.0,2.0,,2.0,4.0,0.67,10,6.0,4.0,2.0,12.0,2.0
KIM Su Ji,1.0,,4.0,5.0,0.33,,5.0,1.0,6.0,0.0,1.0,1,4.0,6.0,,3.0,,,3.0,,,,,,,11,1.0,,1.0,2.0,0.33
PARK Jeongah,,2.0,4.0,6.0,0.0,3.0,,2.0,5.0,1.0,6.0,6,8.0,20.0,,13.0,2.0,7.0,22.0,59.09,,,,,,13,3.0,1.0,1.0,5.0,1.0
YANG Hyo Jin,1.0,,10.0,11.0,0.33,3.0,2.0,1.0,6.0,1.0,3.0,2,,5.0,,,,,,,1.0,,,1.0,0.33,14,4.0,,,4.0,1.33
JEONG Jiyun,,,,,,,1.0,,1.0,0.0,,- 2,2.0,4.0,,,,,,,,,,,,16,,,,,
PYO Seungju,1.0,1.0,3.0,5.0,0.33,,,,,,,-,,,,,,4.0,4.0,,,,,,,19,3.0,,,3.0,1.0
AN Hyejin,,,,,,,,,,,,-,,,,,,,,,2.0,,8.0,10.0,0.67, 7,,1.0,,1.0,0.0
OH Jiyoung,,,,,,,,,,,,-,,,,6.0,,1.0,7.0,,,,3.0,3.0,0.0, 9,10.0,2.0,1.0,13.0,3.33
,total,7.0,60.0,75.0,2.67,11.0,20.0,18.0,49.0,3.67,40.0,15,37.0,92.0,27.17,35.0,3.0,15.0,53.0,66.04,38.0,,51.0,89.0,12.67,ls,38.0,15.0,6.0,59.0,12.67
