Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
BUSA Bianka,1.0,1.0,2.0,4.0,0.33,,1.0,,1.0,0.0,,,,,,1.0,,1.0,2.0,,,,,,,1,,,,,
POPOVIC Mina,,2.0,12.0,14.0,0.0,2.0,3.0,4.0,9.0,0.67,2.0,,1.0,3.0,,,,,,,,,2.0,2.0,0.0, 5,2.0,2.0,1.0,5.0,0.67
OGNJENOVIC Maja,1.0,1.0,9.0,11.0,0.33,1.0,1.0,3.0,5.0,0.33,2.0,,,2.0,,,,,,,36.0,1.0,25.0,62.0,12.0,10,,,3.0,3.0,0.0
BJELICA Ana,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
ALEKSIC Maja,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,14,,,,,
RASIC Milena,1.0,2.0,7.0,10.0,0.33,6.0,1.0,5.0,12.0,2.0,3.0,2.0,3.0,8.0,,,,,,,,,1.0,1.0,0.0,16,1.0,,2.0,3.0,0.33
POPOVIC Silvija,,,,,,,,,,,,,,,,9.0,,5.0,14.0,64.29,2.0,,2.0,4.0,0.67,17,11.0,3.0,2.0,16.0,3.67
BOSKOVIC Tijana,1.0,4.0,7.0,12.0,0.33,3.0,2.0,7.0,12.0,1.0,24.0,7.0,12.0,43.0,39.53,,,,,,,,,,,18,4.0,4.0,2.0,10.0,1.33
MILENKOVIC Bojana,,,11.0,11.0,0.0,2.0,2.0,3.0,7.0,0.67,5.0,,6.0,11.0,,14.0,,4.0,18.0,77.78,1.0,,1.0,2.0,0.33,19,3.0,7.0,,10.0,1.0
BLAGOJEVIC Jelena,,1.0,11.0,12.0,0.0,1.0,,3.0,4.0,0.33,3.0,1.0,7.0,11.0,,6.0,,2.0,8.0,,1.0,,1.0,2.0,0.33,20,7.0,2.0,,9.0,2.33
MIRKOVIC Sladjana,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,8,,,,,
MIHAJLOVIC Brankica,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,9,,,,,
,total,11.0,59.0,74.0,1.33,15.0,10.0,25.0,50.0,5.0,42.0,10.0,29.0,81.0,39.51,30.0,,12.0,42.0,71.43,40.0,1.0,36.0,77.0,13.33,ls,28.0,18.0,10.0,56.0,9.33
