Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
WAIRIMU Jane Wacu,,-,7.0,7.0,0.0,,2.0,1.0,3.0,0.0,,,,,,,1.0,,1.0,,18.0,,28.0,46.0,6.0, 1,7.0,6.0,,13.0,2.33
KASAYA Leonida,,-,8.0,8.0,0.0,,3.0,,3.0,0.0,3.0,5.0,6.0,14.0,,3.0,3.0,5.0,11.0,,,,1.0,1.0,0.0, 4,2.0,7.0,1,10.0,0.67
KIPRONO Sharon Chepchumba,,- 3,3.0,6.0,0.0,1.0,1.0,2.0,4.0,0.33,11.0,5.0,8.0,24.0,25.0,,,,,,,,2.0,2.0,0.0, 5,,5.0,,5.0,0.0
LUSENAKA Joy,,-,1.0,1.0,0.0,,,,,,,,,,,,,,,,4.0,,1.0,5.0,1.33, 8,,,- 1,1.0,0.0
MURAMBI Noel,,-,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,10,,,-,,
EMANIMAN Gladys Ekaru,,-,1.0,1.0,0.0,,2.0,1.0,3.0,0.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,,12,,,- 1,1.0,0.0
KAEI Lorine Chebet,,-,9.0,9.0,0.0,1.0,3.0,5.0,9.0,0.33,1.0,1.0,1.0,3.0,,2.0,,,2.0,,2.0,,1.0,3.0,0.67,13,,1.0,,1.0,0.0
MOIM Mercy,,- 1,10.0,11.0,0.0,1.0,,3.0,4.0,0.33,8.0,2.0,6.0,16.0,37.5,12.0,4.0,9.0,25.0,48.0,,,2.0,2.0,0.0,14,5.0,1.0,,6.0,1.67
JEPKIRUI Pamela,,-,,,,,,,,,,,,,,,,,,,,,,,,15,,,-,,
KUNDU Agripina Khayesi,,-,,,,,,,,,,,,,,10.0,2.0,3.0,15.0,66.67,1.0,,5.0,6.0,0.33,16,4.0,11.0,,15.0,1.33
CHEMTAI Emmaculate,,-,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,18,,,-,,
MUKUVILANI Edith,1.0,,9.0,10.0,0.33,,7.0,3.0,10.0,0.0,3.0,1.0,2.0,6.0,,1.0,,1.0,2.0,,,,2.0,2.0,0.0,19,1.0,1.0,,2.0,0.33
,total,4,48.0,53.0,0.33,3.0,18.0,15.0,36.0,1.0,27.0,14.0,25.0,66.0,19.7,29.0,10.0,20.0,59.0,49.15,25.0,,42.0,67.0,8.33,ls,19.0,32.0,3,54.0,6.33
