Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
BUSA Bianka,4.0,2,7.0,13.0,1.33,,2.0,1.0,3.0,0.0,4.0,3.0,7.0,14.0,7.14,14.0,1.0,6.0,21.0,66.67,,,2.0,2.0,0.0, 1,5.0,2.0,2.0,9.0,1.67
POPOVIC Mina,,- 1,5.0,6.0,0.0,3.0,5.0,5.0,13.0,1.0,5.0,,3.0,8.0,,,2.0,,2.0,,,,1.0,1.0,0.0, 5,,1.0,,1.0,0.0
MIRKOVIC Sladjana,,-,1.0,1.0,0.0,1.0,,1.0,2.0,0.33,1.0,,,1.0,,,,,,,5.0,,3.0,8.0,1.67, 8,,,1.0,1.0,0.0
OGNJENOVIC Maja,4.0,,15.0,19.0,1.33,,1.0,2.0,3.0,0.0,3.0,,,3.0,,,,,,,29.0,1.0,24.0,54.0,9.67,10,1.0,5.0,4.0,10.0,0.33
BJELICA Ana,1.0,,4.0,5.0,0.33,,1.0,1.0,2.0,0.0,,1.0,2.0,3.0,,,,,,,,,,,,13,,,,,
ALEKSIC Maja,,-,1.0,1.0,0.0,1.0,,,1.0,0.33,1.0,,,1.0,,,,,,,,,,,,14,,,,,
RASIC Milena,2.0,,10.0,12.0,0.67,3.0,3.0,2.0,8.0,1.0,7.0,1.0,4.0,12.0,50.0,,,,,,1.0,,,1.0,0.33,16,,1.0,1.0,2.0,0.0
POPOVIC Silvija,,-,,,,,,,,,,,,,,2.0,1.0,3.0,6.0,,,,3.0,3.0,0.0,17,4.0,3.0,2.0,9.0,1.33
BOSKOVIC Tijana,2.0,1,7.0,10.0,0.67,,1.0,4.0,5.0,0.0,11.0,5.0,8.0,24.0,25.0,,,,,,,,,,,18,4.0,4.0,3.0,11.0,1.33
MILENKOVIC Bojana,,-,4.0,4.0,0.0,2.0,,2.0,4.0,0.67,7.0,,4.0,11.0,,10.0,,5.0,15.0,66.67,,,4.0,4.0,0.0,19,10.0,1.0,1.0,12.0,3.33
BLAGOJEVIC Jelena,,-,2.0,2.0,0.0,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,20,1.0,,,1.0,0.33
MIHAJLOVIC Brankica,,-,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
,total,4,56.0,73.0,4.33,10.0,13.0,18.0,41.0,3.33,39.0,10.0,28.0,77.0,37.66,27.0,4.0,15.0,46.0,58.7,35.0,1.0,37.0,73.0,11.67,ls,25.0,17.0,14.0,56.0,8.33
