Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
GERMANIER Sabrina Soledad,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,4.0,,4.0,8.0,1.33, 2,,1.0,,1.0,0.0
NIZETICH Paula Yamila,,2.0,9.0,11.0,0.0,,3.0,2.0,5.0,0.0,8.0,10.0,11.0,29.0,,12.0,1.0,10.0,23.0,52.17,,,4.0,4.0,0.0, 3,4.0,7.0,1.0,12.0,1.33
BULAICH SIMIAN Daniela,,2.0,9.0,11.0,0.0,1.0,3.0,2.0,6.0,0.33,7.0,6.0,18.0,31.0,3.23,12.0,,10.0,22.0,54.55,,,4.0,4.0,0.0, 4,8.0,3.0,2.0,13.0,2.67
RODRIGUEZ Elina Maria,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
LAZCANO Julieta Constanza,,,2.0,2.0,0.0,,,3.0,3.0,0.0,1.0,,2.0,3.0,,,,,,,,,,,,11,,,,,
RIZZO Tatiana Soledad,,,,,,,,1.0,1.0,0.0,,,,,,10.0,,3.0,13.0,,,,5.0,5.0,0.0,12,10.0,7.0,7.0,24.0,3.33
FARRIOL Bianca,1.0,1.0,5.0,7.0,0.33,,4.0,2.0,6.0,0.0,,1.0,3.0,4.0,,,,,,,,,1.0,1.0,0.0,13,1.0,,,1.0,0.33
MAYER Victoria,,1.0,10.0,11.0,0.0,,1.0,6.0,7.0,0.0,,,1.0,1.0,,,,,,,26.0,1.0,54.0,81.0,8.67,14,1.0,2.0,4.0,7.0,0.33
FORTUNA Antonela,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,15,,,,,
MERCADO Erika,,1.0,7.0,8.0,0.0,1.0,3.0,,4.0,0.33,11.0,4.0,13.0,28.0,25.0,,,,,,,,,,,16,5.0,5.0,4.0,14.0,1.67
HERRERA RODRIGUEZ Candelaria Lucia,,,7.0,7.0,0.0,3.0,4.0,3.0,10.0,1.0,4.0,,7.0,11.0,,1.0,,,1.0,,,,,,,17,2.0,,,2.0,0.67
NOSACH Eugenia,,,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,6,,,,,
,total,7.0,54.0,62.0,0.33,5.0,18.0,19.0,42.0,1.67,33.0,21.0,56.0,110.0,10.91,35.0,1.0,23.0,59.0,59.32,30.0,1.0,72.0,103.0,10.0,ls,31.0,25.0,18.0,74.0,10.33
