Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
RODRIGUEZ Elina Maria,,1.0,,1.0,0.0,,,,,,2.0,4.0,5.0,11.0,,3.0,1.0,4.0,8.0,,1.0,,,1.0,0.33, 1,,,1.0,1.0,0.0
GERMANIER Sabrina Soledad,,,6.0,6.0,0.0,,,2.0,2.0,0.0,1.0,,1.0,2.0,,,,,,,19.0,,26.0,45.0,6.33, 2,4.0,1.0,1.0,6.0,1.33
NIZETICH Paula Yamila,1.0,3.0,7.0,11.0,0.33,,1.0,,1.0,0.0,6.0,3.0,11.0,20.0,15.0,19.0,,6.0,25.0,76.0,2.0,,2.0,4.0,0.67, 3,7.0,5.0,,12.0,2.33
BULAICH SIMIAN Daniela,,,6.0,6.0,0.0,,1.0,2.0,3.0,0.0,9.0,2.0,7.0,18.0,38.89,4.0,2.0,10.0,16.0,25.0,1.0,,2.0,3.0,0.33, 4,4.0,5.0,3.0,12.0,1.33
LAZCANO Julieta Constanza,,,6.0,6.0,0.0,,7.0,,7.0,0.0,2.0,,,2.0,,,,,,,,,1.0,1.0,0.0,11,,2.0,1.0,3.0,0.0
RIZZO Tatiana Soledad,,,,,,,,,,,,,,,,6.0,1.0,2.0,9.0,,,,3.0,3.0,0.0,12,10.0,12.0,2.0,24.0,3.33
FARRIOL Bianca,,,9.0,9.0,0.0,4.0,4.0,3.0,11.0,1.33,2.0,2.0,1.0,5.0,,1.0,,,1.0,,,,,,,13,3.0,,1.0,4.0,1.0
MAYER Victoria,,1.0,4.0,5.0,0.0,,2.0,1.0,3.0,0.0,,,1.0,1.0,,,,,,,9.0,,17.0,26.0,3.0,14,,1.0,1.0,2.0,0.0
FORTUNA Antonela,1.0,,7.0,8.0,0.33,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,15,1.0,1.0,,2.0,0.33
MERCADO Erika,,1.0,5.0,6.0,0.0,1.0,,3.0,4.0,0.33,12.0,7.0,13.0,32.0,15.63,,,,,,,,2.0,2.0,0.0,16,2.0,3.0,2.0,7.0,0.67
HERRERA RODRIGUEZ Candelaria Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
NOSACH Eugenia,,,,,,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,6,,,,,
,total,6.0,50.0,58.0,0.67,5.0,16.0,12.0,33.0,1.67,34.0,18.0,39.0,91.0,17.58,34.0,5.0,22.0,61.0,55.74,32.0,,53.0,85.0,10.67,ls,31.0,30.0,12.0,73.0,10.33
