Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
YUAN Xinyue,1.0,,9.0,10.0,0.33,3.0,4.0,4.0,11.0,1.0,7.0,1.0,4.0,12.0,,1.0,,,1.0,,,,,,, 1,1.0,1.0,2.0,4.0,0.33
GONG Xiangyu,1.0,2.0,10.0,13.0,0.33,2.0,4.0,7.0,13.0,0.67,8.0,3.0,6.0,17.0,29.41,4.0,,3.0,7.0,,1.0,,1.0,2.0,0.33, 6,14.0,,,14.0,4.67
WANG Yuanyuan,1.0,1.0,13.0,15.0,0.33,1.0,4.0,2.0,7.0,0.33,6.0,,7.0,13.0,,,,,,,2.0,,4.0,6.0,0.67, 7,2.0,2.0,,4.0,0.67
ZHANG Changning,1.0,1.0,5.0,7.0,0.33,2.0,3.0,3.0,8.0,0.67,15.0,4.0,5.0,24.0,45.83,11.0,1.0,2.0,14.0,78.57,,,2.0,2.0,0.0, 9,3.0,,,3.0,1.0
LIU Xiaotong,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,10,1.0,1.0,,2.0,0.33
YAO Di,,1.0,12.0,13.0,0.0,,6.0,1.0,7.0,0.0,,,,,,,,1.0,1.0,,39.0,,37.0,76.0,13.0,11,6.0,3.0,,9.0,2.0
LI Yingying,2.0,1.0,12.0,15.0,0.67,1.0,1.0,,2.0,0.33,11.0,4.0,11.0,26.0,26.92,11.0,1.0,3.0,15.0,73.33,1.0,,,1.0,0.33,12,6.0,,1.0,7.0,2.0
DING Xia,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
YAN Ni,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
WANG Mengjie,,,,,,,,,,,,,,,,10.0,,2.0,12.0,,1.0,,2.0,3.0,0.33,18,9.0,3.0,2.0,14.0,3.0
LIU Yanhan,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
ZHU Ting,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,total,6.0,61.0,73.0,2.0,9.0,22.0,17.0,48.0,3.0,47.0,13.0,34.0,94.0,36.17,37.0,2.0,12.0,51.0,72.55,44.0,,46.0,90.0,14.67,ls,42.0,10.0,5.0,57.0,14.0
