Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
YUAN Xinyue,,,14.0,14.0,0.0,1.0,3.0,2.0,6.0,0.33,4.0,1.0,4.0,9.0,,,1.0,,1.0,,,,1.0,1.0,0.0, 1,,2.0,,2.0,0.0
GONG Xiangyu,2.0,1.0,17.0,20.0,0.67,1.0,8.0,,9.0,0.33,6.0,2.0,9.0,17.0,23.53,2.0,1.0,3.0,6.0,,2.0,,2.0,4.0,0.67, 6,10.0,3.0,2.0,15.0,3.33
WANG Yuanyuan,,,8.0,8.0,0.0,3.0,3.0,6.0,12.0,1.0,3.0,1.0,1.0,5.0,,,,,,,,,3.0,3.0,0.0, 7,,1.0,,1.0,0.0
ZHANG Changning,,,9.0,9.0,0.0,1.0,4.0,3.0,8.0,0.33,11.0,6.0,3.0,20.0,25.0,9.0,1.0,5.0,15.0,60.0,,,5.0,5.0,0.0, 9,7.0,3.0,2.0,12.0,2.33
LIU Xiaotong,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
YAO Di,,,11.0,11.0,0.0,2.0,5.0,2.0,9.0,0.67,,,,,,1.0,,,1.0,,26.0,1.0,33.0,60.0,8.67,11,10.0,4.0,1.0,15.0,3.33
LI Yingying,,1.0,12.0,13.0,0.0,2.0,4.0,,6.0,0.67,13.0,8.0,19.0,40.0,12.5,7.0,,6.0,13.0,53.85,,,,,,12,1.0,1.0,1.0,3.0,0.33
DING Xia,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
YAN Ni,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
WANG Mengjie,,,,,,,,,,,,,,,,8.0,,5.0,13.0,61.54,5.0,,7.0,12.0,1.67,18,3.0,2.0,3.0,8.0,1.0
LIU Yanhan,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
ZHU Ting,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,total,2.0,71.0,75.0,0.67,10.0,27.0,13.0,50.0,3.33,37.0,18.0,36.0,91.0,20.88,27.0,3.0,19.0,49.0,55.1,33.0,1.0,51.0,85.0,11.0,ls,31.0,16.0,9.0,56.0,10.33
