Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KOROLEVA Irina,,,7.0,7.0,0.0,1.0,8.0,11.0,20.0,0.2,5.0,5.0,5.0,15.0,,,,,,,,,1.0,1.0,0.0, 6,2.0,2.0,,4.0,0.4
GONCHAROVA Nataliya,,1.0,16.0,17.0,0.0,1.0,3.0,5.0,9.0,0.2,26.0,12.0,17.0,55.0,25.45,,1.0,,1.0,,1.0,,4.0,5.0,0.2, 8,8.0,3.0,2.0,13.0,1.6
FEDOROVTSEVA Arina,2.0,3.0,13.0,18.0,0.4,3.0,3.0,7.0,13.0,0.6,23.0,10.0,22.0,55.0,23.64,8.0,3.0,7.0,18.0,,2.0,,1.0,3.0,0.4,10,8.0,6.0,2.0,16.0,1.6
LAZAREVA Anna,,,3.0,3.0,0.0,,,2.0,2.0,0.0,,1.0,1.0,2.0,,,,,,,,,,,,12,1.0,,1.0,2.0,0.2
STARTSEVA Evgeniya,,1.0,16.0,17.0,0.0,1.0,4.0,3.0,8.0,0.2,,,1.0,1.0,,,,1.0,1.0,,58.0,,85.0,143.0,11.6,13,9.0,2.0,4.0,15.0,1.8
FETISOVA Irina,,,13.0,13.0,0.0,5.0,5.0,11.0,21.0,1.0,,1.0,2.0,3.0,,2.0,,,2.0,,1.0,,1.0,2.0,0.2,14,5.0,1.0,3.0,9.0,1.0
VORONKOVA Irina,1.0,1.0,19.0,21.0,0.2,3.0,4.0,2.0,9.0,0.6,22.0,14.0,16.0,52.0,15.38,29.0,2.0,12.0,43.0,67.44,2.0,1.0,5.0,8.0,0.4,16,15.0,13.0,6.0,34.0,3.0
PODKOPAEVA Anna,,,,,,,,,,,,,,,,19.0,1.0,11.0,31.0,61.29,6.0,,10.0,16.0,1.2,19,21.0,10.0,7.0,38.0,4.2
SMIRNOVA Kseniia,,1.0,8.0,9.0,0.0,,,,,,,,,,,,1.0,,1.0,,,,,,,25,,,,,
ENINA Ekaterina,,,4.0,4.0,0.0,,1.0,,1.0,0.0,1.0,4.0,,5.0,,1.0,,,1.0,,,,,,,26,,,,,
PILIPENKO Daria,,,,,,,,,,,,,,,,,,,,,,,,,, 4,,,1.0,1.0,0.0
MATVEEVA Polina,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,5,,,,,
,total,7.0,99.0,109.0,0.6,14.0,28.0,41.0,83.0,2.8,77.0,47.0,64.0,188.0,15.96,59.0,8.0,31.0,98.0,60.2,70.0,1.0,108.0,179.0,14.0,ls,69.0,37.0,26.0,132.0,13.8
