Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
YUAN Xinyue,1.0,,6.0,7.0,0.33,1.0,2.0,,3.0,0.33,4.0,2.0,6.0,12.0,16.67,,,,,,1.0,1.0,1.0,3.0,0.33,1,,,,,
ZHU Ting,,-,4.0,4.0,0.0,1.0,3.0,1.0,5.0,0.33,3.0,3.0,9.0,15.0,,2.0,1.0,7.0,10.0,,,,1.0,1.0,0.0, 2,1.0,3.0,1.0,5.0,0.33
GONG Xiangyu,,-,7.0,7.0,0.0,,2.0,4.0,6.0,0.0,6.0,2.0,7.0,15.0,26.67,8.0,1.0,6.0,15.0,53.33,1.0,,2.0,3.0,0.33, 6,2.0,7.0,,9.0,0.67
WANG Yuanyuan,,- 1,2.0,3.0,0.0,,2.0,,2.0,0.0,,,2.0,2.0,,,,,,,,,,,,7,,,,,
ZHANG Changning,2.0,,7.0,9.0,0.67,2.0,5.0,3.0,10.0,0.67,9.0,8.0,4.0,21.0,4.76,8.0,1.0,3.0,12.0,,,,,,, 9,4.0,3.0,,7.0,1.33
LIU Xiaotong,,-,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
YAO Di,,-,2.0,2.0,0.0,,,1.0,1.0,0.0,1.0,,,1.0,,,,,,,13.0,1.0,11.0,25.0,4.33,11,1.0,3.0,,4.0,0.33
LI Yingying,,- 1,4.0,5.0,0.0,,1.0,,1.0,0.0,1.0,2.0,1.0,4.0,,6.0,,2.0,8.0,,,,1.0,1.0,0.0,12,,,1.0,1.0,0.0
DING Xia,,- 1,4.0,5.0,0.0,,3.0,4.0,7.0,0.0,,,,,,,,,,,7.0,,28.0,35.0,2.33,16,1.0,2.0,2.0,5.0,0.33
YAN Ni,,-,7.0,7.0,0.0,,4.0,2.0,6.0,0.0,2.0,,2.0,4.0,,,,,,,,,,,,17,,1.0,,1.0,0.0
WANG Mengjie,,-,,,,,,,,,,,,,,8.0,2.0,5.0,15.0,53.33,,,2.0,2.0,0.0,18,5.0,6.0,2.0,13.0,1.67
LIU Yanhan,,-,2.0,2.0,0.0,,,,,,2.0,3.0,1.0,6.0,,,,,,,,,,,,19,,,,,
,total,3,45.0,51.0,1.0,4.0,22.0,15.0,41.0,1.33,28.0,20.0,32.0,80.0,10.0,32.0,5.0,23.0,60.0,53.33,22.0,2.0,46.0,70.0,7.33,ls,14.0,25.0,6.0,45.0,4.67
