Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
OZBAY Cansu,2.0,2.0,13.0,17.0,0.67,,,1.0,1.0,0.0,1.0,,1.0,2.0,,,,,,,36.0,,24.0,60.0,12.0, 3,4.0,3.0,2.0,9.0,1.33
BALADIN Hande,,2.0,13.0,15.0,0.0,1.0,,,1.0,0.33,9.0,1.0,3.0,13.0,61.54,14.0,3.0,2.0,19.0,73.68,,,,,, 7,8.0,2.0,2.0,12.0,2.67
ISMAILOGLU Meliha,,,10.0,10.0,0.0,,1.0,3.0,4.0,0.0,4.0,,7.0,11.0,,18.0,,5.0,23.0,78.26,,,1.0,1.0,0.0, 9,4.0,6.0,2.0,12.0,1.33
AYDEMIR AKYOL Naz,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
BOZ Meryem,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
ERDEM DUNDAR Eda,1.0,1.0,9.0,11.0,0.33,4.0,6.0,6.0,16.0,1.33,8.0,3.0,,11.0,,,,,,,,,1.0,1.0,0.0,14,1.0,1.0,,2.0,0.33
GUNES Zehra,,1.0,10.0,11.0,0.0,3.0,3.0,8.0,14.0,1.0,8.0,2.0,3.0,13.0,46.15,,,,,,3.0,,,3.0,1.0,18,,1.0,,1.0,0.0
AKOZ Simge Sebnem,,,,,,,,,,,,,,,,3.0,,2.0,5.0,,2.0,,2.0,4.0,0.67, 2,5.0,4.0,1.0,10.0,1.67
SENOGLU Tugba,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
ERCAN Seyma,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
CALISKAN Kubra,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
KARAKURT Ebrar,1.0,2.0,6.0,9.0,0.33,1.0,2.0,,3.0,0.33,16.0,4.0,7.0,27.0,44.44,,,,,,1.0,,1.0,2.0,0.33,99,4.0,1.0,,5.0,1.33
,total,8.0,61.0,73.0,1.33,9.0,12.0,18.0,39.0,3.0,46.0,10.0,21.0,77.0,46.75,35.0,3.0,9.0,47.0,74.47,42.0,,29.0,71.0,14.0,ls,26.0,18.0,7.0,51.0,8.67
