Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
YUAN Xinyue,,-,9.0,9.0,0.0,1.0,8.0,6.0,15.0,0.33,8.0,,4.0,12.0,,,,,,,2.0,,2.0,4.0,0.67, 1,1.0,1.0,2.0,4.0,0.33
ZHU Ting,,-,11.0,11.0,0.0,2.0,4.0,4.0,10.0,0.67,16.0,2.0,19.0,37.0,37.84,2.0,2.0,1.0,5.0,,,,3.0,3.0,0.0, 2,7.0,7.0,2.0,16.0,2.33
GONG Xiangyu,,-,8.0,8.0,0.0,1.0,2.0,7.0,10.0,0.33,4.0,2.0,8.0,14.0,,19.0,1.0,8.0,28.0,67.86,,,,,, 6,9.0,2.0,3.0,14.0,3.0
ZHANG Changning,,-,3.0,3.0,0.0,1.0,1.0,3.0,5.0,0.33,6.0,5.0,4.0,15.0,,2.0,,4.0,6.0,,1.0,,1.0,2.0,0.33, 9,2.0,3.0,,5.0,0.67
LIU Xiaotong,,-,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,10,,,,,
YAO Di,1.0,,1.0,2.0,0.33,,,1.0,1.0,0.0,,,,,,,,,,,4.0,,5.0,9.0,1.33,11,1.0,1.0,1.0,3.0,0.33
LI Yingying,,- 1,11.0,12.0,0.0,1.0,1.0,7.0,9.0,0.33,10.0,6.0,11.0,27.0,14.81,9.0,,2.0,11.0,,2.0,,2.0,4.0,0.67,12,4.0,6.0,2.0,12.0,1.33
DING Xia,,- 2,7.0,9.0,0.0,,2.0,3.0,5.0,0.0,,1.0,1.0,2.0,,,,,,,29.0,,48.0,77.0,9.67,16,5.0,5.0,4.0,14.0,1.67
YAN Ni,,-,16.0,16.0,0.0,5.0,9.0,4.0,18.0,1.67,1.0,,6.0,7.0,,,,,,,,,1.0,1.0,0.0,17,1.0,,1.0,2.0,0.33
WANG Mengjie,,-,,,,,,,,,,,,,,11.0,1.0,5.0,17.0,64.71,2.0,,4.0,6.0,0.67,18,8.0,5.0,2.0,15.0,2.67
LIU Yanhan,,-,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
WANG Yuanyuan,,-,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
,total,3,67.0,71.0,0.33,11.0,27.0,35.0,73.0,3.67,45.0,16.0,53.0,114.0,25.44,43.0,4.0,20.0,67.0,64.18,40.0,,66.0,106.0,13.33,ls,38.0,30.0,17.0,85.0,12.67
