Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
POULTER Jordyn,2.0,1.0,12.0,15.0,0.67,2.0,2.0,3.0,7.0,0.67,,1.0,1.0,2.0,,,1.0,,1.0,,51.0,,61.0,112.0,17.0, 2,4.0,3.0,1.0,8.0,1.33
HANCOCK Micha,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
LARSON Jordan,,,8.0,8.0,0.0,1.0,2.0,2.0,5.0,0.33,11.0,6.0,12.0,29.0,17.24,12.0,,1.0,13.0,,1.0,,2.0,3.0,0.33,10,8.0,4.0,,12.0,2.67
DREWS Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
THOMPSON Jordan,2.0,2.0,13.0,17.0,0.67,4.0,2.0,6.0,12.0,1.33,28.0,7.0,15.0,50.0,42.0,,,,,,1.0,,3.0,4.0,0.33,12,4.0,4.0,2.0,10.0,1.33
BARTSCHHACKLEY Michelle,,2.0,10.0,12.0,0.0,,1.0,1.0,2.0,0.0,15.0,9.0,6.0,30.0,20.0,29.0,,7.0,36.0,80.56,1.0,,1.0,2.0,0.33,14,12.0,4.0,6.0,22.0,4.0
HILL Kimberly,,,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,15,2.0,,,2.0,0.67
AKINRADEWO Foluke,,,10.0,10.0,0.0,2.0,7.0,4.0,13.0,0.67,1.0,4.0,5.0,10.0,,,,,,,,,,,,16,1.0,3.0,1.0,5.0,0.33
WASHINGTON Haleigh,,1.0,9.0,10.0,0.0,1.0,5.0,8.0,14.0,0.33,3.0,4.0,4.0,11.0,,2.0,,,2.0,,,,1.0,1.0,0.0,22,2.0,,3.0,5.0,0.67
ROBINSON Kelsey,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
OGBOGU Chiaka,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
WONGORANTES Justine,,,,,,,,,,,,,,,,16.0,,1.0,17.0,,1.0,,4.0,5.0,0.33, 4,16.0,8.0,1.0,25.0,5.33
,total,6.0,68.0,78.0,1.33,10.0,19.0,24.0,53.0,3.33,58.0,31.0,43.0,132.0,20.45,59.0,1.0,9.0,69.0,85.51,55.0,,72.0,127.0,18.33,ls,49.0,26.0,14.0,89.0,16.33
