Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
RODRIGUEZ Elina Maria,,1.0,4.0,5.0,0.0,,1.0,1.0,2.0,0.0,5.0,2.0,7.0,14.0,21.43,5.0,,,5.0,,,,,,, 1,4.0,1.0,,5.0,1.33
GERMANIER Sabrina Soledad,,,1.0,1.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,2.0,,6.0,8.0,0.67,2,,,,,
NIZETICH Paula Yamila,1.0,3.0,5.0,9.0,0.33,,,,,,7.0,4.0,9.0,20.0,15.0,17.0,4.0,11.0,32.0,53.13,1.0,,4.0,5.0,0.33, 3,5.0,8.0,,13.0,1.67
BULAICH SIMIAN Daniela,,1.0,5.0,6.0,0.0,,3.0,,3.0,0.0,6.0,3.0,8.0,17.0,17.65,3.0,1.0,1.0,5.0,,,1.0,,1.0,0.0, 4,4.0,2.0,1.0,7.0,1.33
LAZCANO Julieta Constanza,,,3.0,3.0,0.0,,2.0,,2.0,0.0,3.0,1.0,3.0,7.0,,,,,,,,,,,,11,2.0,2.0,,4.0,0.67
RIZZO Tatiana Soledad,,,,,,,,,,,,,,,,12.0,1.0,5.0,18.0,66.67,2.0,,6.0,8.0,0.67,12,12.0,4.0,1.0,17.0,4.0
FARRIOL Bianca,1.0,2.0,3.0,6.0,0.33,1.0,5.0,4.0,10.0,0.33,,,3.0,3.0,,,,,,,1.0,,,1.0,0.33,13,2.0,,,2.0,0.67
MAYER Victoria,,,13.0,13.0,0.0,,2.0,1.0,3.0,0.0,1.0,,3.0,4.0,,,,2.0,2.0,,21.0,,43.0,64.0,7.0,14,5.0,4.0,,9.0,1.67
FORTUNA Antonela,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,15,,1.0,,1.0,0.0
MERCADO Erika,,1.0,4.0,5.0,0.0,1.0,,,1.0,0.33,6.0,8.0,10.0,24.0,,,,,,,,,,,,16,3.0,3.0,1.0,7.0,1.0
HERRERA RODRIGUEZ Candelaria Lucia,,,3.0,3.0,0.0,1.0,2.0,,3.0,0.33,,,3.0,3.0,,,,,,,,,1.0,1.0,0.0,17,,,,,
NOSACH Eugenia,,,,,,,1.0,1.0,2.0,0.0,,,1.0,1.0,,,,,,,,,1.0,1.0,0.0,6,,,,,
,total,8.0,44.0,54.0,0.67,3.0,16.0,8.0,27.0,1.0,28.0,18.0,47.0,93.0,10.75,37.0,6.0,19.0,62.0,59.68,28.0,1.0,61.0,90.0,9.33,ls,37.0,25.0,3.0,65.0,12.33
