Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
OZBAY Cansu,1.0,1.0,3.0,5.0,0.25,,1.0,2.0,3.0,0.0,,,,,,,1.0,,1.0,,10.0,1.0,19.0,30.0,2.5, 3,3.0,3.0,1.0,7.0,0.75
SENOGLU Tugba,,,1.0,1.0,0.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,,,,,,,4,,,,,
ERCAN Seyma,,,3.0,3.0,0.0,,,,,,,,,,,1.0,,3.0,4.0,,,,1.0,1.0,0.0, 5,,1.0,1.0,2.0,0.0
BALADIN Hande,,3.0,7.0,10.0,0.0,1.0,2.0,1.0,4.0,0.25,4.0,6.0,8.0,18.0,,12.0,1.0,7.0,20.0,,,,3.0,3.0,0.0, 7,1.0,6.0,2.0,9.0,0.25
ISMAILOGLU Meliha,,1.0,8.0,9.0,0.0,2.0,3.0,5.0,10.0,0.5,4.0,3.0,8.0,15.0,,19.0,1.0,12.0,32.0,59.38,1.0,,2.0,3.0,0.25, 9,4.0,4.0,2.0,10.0,1.0
AYDEMIR AKYOL Naz,,,10.0,10.0,0.0,2.0,3.0,1.0,6.0,0.5,,,,,,,,,,,26.0,,39.0,65.0,6.5,11,6.0,2.0,1.0,9.0,1.5
BOZ Meryem,1.0,1.0,9.0,11.0,0.25,1.0,3.0,2.0,6.0,0.25,9.0,5.0,14.0,28.0,14.29,,,,,,,,,,,13,1.0,2.0,1.0,4.0,0.25
ERDEM DUNDAR Eda,1.0,2.0,9.0,12.0,0.25,2.0,6.0,5.0,13.0,0.5,8.0,2.0,6.0,16.0,,1.0,,,1.0,,,,1.0,1.0,0.0,14,4.0,1.0,1.0,6.0,1.0
GUNES Zehra,1.0,1.0,15.0,17.0,0.25,4.0,11.0,6.0,21.0,1.0,9.0,4.0,7.0,20.0,25.0,,,,,,1.0,,1.0,2.0,0.25,18,1.0,2.0,,3.0,0.25
AKOZ Simge Sebnem,,,,,,,,,,,,,,,,15.0,2.0,5.0,22.0,68.18,1.0,,9.0,10.0,0.25, 2,10.0,3.0,3.0,16.0,2.5
CALISKAN Kubra,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
KARAKURT Ebrar,,1.0,4.0,5.0,0.0,,,1.0,1.0,0.0,6.0,8.0,5.0,19.0,,,,,,,,,,,,99,,2.0,3.0,5.0,0.0
,total,10.0,69.0,83.0,1.0,12.0,29.0,23.0,64.0,3.0,40.0,29.0,49.0,118.0,9.32,49.0,6.0,28.0,83.0,59.04,39.0,1.0,75.0,115.0,9.75,ls,30.0,26.0,15.0,71.0,7.5
