Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
RODRIGUEZ Elina Maria,,1.0,4.0,5.0,0.0,,,1.0,1.0,0.0,10.0,10.0,12.0,32.0,,10.0,1.0,3.0,14.0,,1.0,,1.0,2.0,0.33, 1,6.0,4.0,1.0,11.0,2.0
GERMANIER Sabrina Soledad,,,5.0,5.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,10.0,,23.0,33.0,3.33, 2,3.0,2.0,,5.0,1.0
NIZETICH Paula Yamila,1.0,1.0,2.0,4.0,0.33,,1.0,,1.0,0.0,,4.0,5.0,9.0,,5.0,,4.0,9.0,,,,,,, 3,3.0,3.0,1.0,7.0,1.0
BULAICH SIMIAN Daniela,,,2.0,2.0,0.0,,,2.0,2.0,0.0,4.0,8.0,6.0,18.0,,8.0,3.0,6.0,17.0,47.06,,,1.0,1.0,0.0, 4,4.0,2.0,,6.0,1.33
LAZCANO Julieta Constanza,,,5.0,5.0,0.0,,2.0,3.0,5.0,0.0,6.0,3.0,2.0,11.0,,3.0,,,3.0,,,,2.0,2.0,0.0,11,,1.0,1.0,2.0,0.0
RIZZO Tatiana Soledad,,,,,,,,,,,,,,,,12.0,,6.0,18.0,66.67,2.0,,6.0,8.0,0.67,12,6.0,7.0,3.0,16.0,2.0
FARRIOL Bianca,,,5.0,5.0,0.0,,2.0,5.0,7.0,0.0,1.0,,1.0,2.0,,,,,,,,,,,,13,1.0,,1.0,2.0,0.33
MAYER Victoria,,,10.0,10.0,0.0,,1.0,2.0,3.0,0.0,1.0,,1.0,2.0,,,,,,,18.0,1.0,33.0,52.0,6.0,14,5.0,4.0,1.0,10.0,1.67
FORTUNA Antonela,,,4.0,4.0,0.0,,,,,,1.0,,1.0,2.0,,1.0,,1.0,2.0,,,,,,,15,3.0,1.0,,4.0,1.0
MERCADO Erika,1.0,1.0,4.0,6.0,0.33,3.0,3.0,5.0,11.0,1.0,9.0,7.0,8.0,24.0,8.33,,,,,,,,1.0,1.0,0.0,16,4.0,5.0,1.0,10.0,1.33
HERRERA RODRIGUEZ Candelaria Lucia,,,2.0,2.0,0.0,1.0,3.0,3.0,7.0,0.33,,1.0,2.0,3.0,,1.0,,,1.0,,,,1.0,1.0,0.0,17,,,,,
NOSACH Eugenia,,,,,,,,1.0,1.0,0.0,,1.0,,1.0,,,,,,,,,,,,6,,,,,
,total,3.0,43.0,48.0,0.67,4.0,12.0,23.0,39.0,1.33,32.0,34.0,38.0,104.0,,40.0,4.0,20.0,64.0,62.5,31.0,1.0,68.0,100.0,10.33,ls,35.0,29.0,9.0,73.0,11.67
