Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KOROLEVA Irina,,,7.0,7.0,0.0,5.0,3.0,8.0,16.0,1.67,3.0,1.0,3.0,7.0,,,,,,,1.0,,4.0,5.0,0.33, 6,3.0,,- 1,4.0,1.0
GONCHAROVA Nataliya,,1.0,15.0,16.0,0.0,4.0,3.0,1.0,8.0,1.33,13.0,4.0,6.0,23.0,39.13,2.0,,,2.0,,,,1.0,1.0,0.0, 8,7.0,4.0,2,13.0,2.33
FEDOROVTSEVA Arina,1.0,2.0,11.0,14.0,0.33,2.0,4.0,1.0,7.0,0.67,9.0,3.0,6.0,18.0,33.33,5.0,,12.0,17.0,29.41,,,,,,10,4.0,3.0,,7.0,1.33
LAZAREVA Anna,,,2.0,2.0,0.0,,,,,,2.0,,,2.0,,,,,,,,,,,,12,1.0,,- 1,2.0,0.33
STARTSEVA Evgeniya,,,11.0,11.0,0.0,,,4.0,4.0,0.0,2.0,,1.0,3.0,,,,,,,33.0,,25.0,58.0,11.0,13,8.0,5.0,,13.0,2.67
FETISOVA Irina,,1.0,7.0,8.0,0.0,1.0,1.0,7.0,9.0,0.33,5.0,,3.0,8.0,,,,,,,1.0,,,1.0,0.33,14,4.0,1.0,,5.0,1.33
VORONKOVA Irina,3.0,1.0,6.0,10.0,1.0,1.0,2.0,6.0,9.0,0.33,7.0,3.0,11.0,21.0,19.05,5.0,,4.0,9.0,,1.0,,,1.0,0.33,16,6.0,2.0,1,9.0,2.0
PODKOPAEVA Anna,,,,,,,,,,,,,,,,9.0,2.0,2.0,13.0,69.23,2.0,,9.0,11.0,0.67,19,7.0,3.0,,10.0,2.33
SMIRNOVA Kseniia,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,25,,,-,,
ENINA Ekaterina,,,4.0,4.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,26,,1.0,,1.0,0.0
PILIPENKO Daria,,,,,,,,,,,,,,,,1.0,,2.0,3.0,,,,,,, 4,1.0,,-,1.0,0.33
MATVEEVA Polina,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,5,,,-,,
,total,5.0,65.0,74.0,1.33,13.0,13.0,28.0,54.0,4.33,41.0,11.0,30.0,82.0,36.59,22.0,2.0,20.0,44.0,50.0,38.0,,41.0,79.0,12.67,ls,41.0,19.0,5,65.0,13.67
