Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
MATVEEVA Polina,1.0,1.0,,2.0,0.2,,,,,,,,,,,,,,,,2.0,,2.0,4.0,0.4,5,,,,,
KOROLEVA Irina,3.0,,16.0,19.0,0.6,3.0,5.0,5.0,13.0,0.6,4.0,3.0,3.0,10.0,,,,1.0,1.0,,1.0,,2.0,3.0,0.2, 6,1.0,1.0,,2.0,0.2
GONCHAROVA Nataliya,,,14.0,14.0,0.0,1.0,1.0,6.0,8.0,0.2,17.0,7.0,25.0,49.0,20.41,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,0.2, 8,3.0,3.0,2.0,8.0,0.6
FEDOROVTSEVA Arina,6.0,3.0,15.0,24.0,1.2,1.0,2.0,5.0,8.0,0.2,12.0,9.0,13.0,34.0,8.82,11.0,,12.0,23.0,47.83,,,1.0,1.0,0.0,10,4.0,4.0,1.0,9.0,0.8
LAZAREVA Anna,,,5.0,5.0,0.0,1.0,,,1.0,0.2,,1.0,4.0,5.0,,,,2.0,2.0,,,,,,,12,,,,,
STARTSEVA Evgeniya,,2.0,7.0,9.0,0.0,1.0,4.0,2.0,7.0,0.2,1.0,1.0,2.0,4.0,,,,,,,45.0,,65.0,110.0,9.0,13,7.0,4.0,1.0,12.0,1.4
FETISOVA Irina,1.0,2.0,7.0,10.0,0.2,3.0,9.0,2.0,14.0,0.6,3.0,,1.0,4.0,,1.0,,,1.0,,,,1.0,1.0,0.0,14,3.0,1.0,,4.0,0.6
VORONKOVA Irina,,2.0,16.0,18.0,0.0,1.0,5.0,2.0,8.0,0.2,19.0,7.0,9.0,35.0,34.29,15.0,2.0,11.0,28.0,53.57,,,1.0,1.0,0.0,16,15.0,10.0,3.0,28.0,3.0
PODKOPAEVA Anna,,,,,,,,,,,,,,,,14.0,,14.0,28.0,50.0,1.0,,7.0,8.0,0.2,19,12.0,7.0,4.0,23.0,2.4
SMIRNOVA Kseniia,,2.0,3.0,5.0,0.0,1.0,,,1.0,0.2,,,1.0,1.0,,2.0,1.0,2.0,5.0,,1.0,,,1.0,0.2,25,2.0,1.0,,3.0,0.4
ENINA Ekaterina,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,
PILIPENKO Daria,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,4,,,,,
,total,12.0,83.0,106.0,2.2,12.0,26.0,22.0,60.0,2.4,56.0,28.0,58.0,142.0,19.72,44.0,4.0,44.0,92.0,47.83,51.0,,80.0,131.0,10.2,ls,47.0,31.0,11.0,89.0,9.4
