Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
HANCOCK Micha,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,1.0,,6.0,7.0,0.33,1,,,,,
POULTER Jordyn,1.0,,14.0,15.0,0.33,,1.0,3.0,4.0,0.0,1.0,,,1.0,,,,,,,37.0,1.0,30.0,68.0,12.33, 2,4.0,2.0,3.0,9.0,1.33
LARSON Jordan,1.0,2.0,10.0,13.0,0.33,1.0,3.0,,4.0,0.33,8.0,3.0,10.0,21.0,23.81,13.0,,2.0,15.0,86.67,,,1.0,1.0,0.0,10,5.0,2.0,,7.0,1.67
DREWS Andrea,,,,,,1.0,,1.0,2.0,0.33,,1.0,2.0,3.0,,,,,,,,,,,,11,,,,,
THOMPSON Jordan,,2.0,10.0,12.0,0.0,2.0,4.0,2.0,8.0,0.67,18.0,3.0,2.0,23.0,65.22,,,,,,,,,,,12,7.0,1.0,1.0,9.0,2.33
BARTSCHHACKLEY Michelle,2.0,2.0,12.0,16.0,0.67,,5.0,3.0,8.0,0.0,11.0,6.0,8.0,25.0,20.0,17.0,,9.0,26.0,65.38,2.0,,1.0,3.0,0.67,14,5.0,4.0,1.0,10.0,1.67
HILL Kimberly,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,15,1.0,,,1.0,0.33
AKINRADEWO Foluke,,1.0,5.0,6.0,0.0,2.0,3.0,5.0,10.0,0.67,4.0,1.0,3.0,8.0,,,,,,,,,,,,16,1.0,,,1.0,0.33
WASHINGTON Haleigh,1.0,1.0,6.0,8.0,0.33,3.0,5.0,1.0,9.0,1.0,2.0,2.0,3.0,7.0,,,,,,,,,1.0,1.0,0.0,22,2.0,1.0,1.0,4.0,0.67
ROBINSON Kelsey,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
OGBOGU Chiaka,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
WONGORANTES Justine,,,,,,,,,,,,,,,,9.0,,2.0,11.0,,3.0,,3.0,6.0,1.0, 4,6.0,5.0,,11.0,2.0
,total,9.0,59.0,73.0,1.67,9.0,21.0,15.0,45.0,3.0,44.0,16.0,28.0,88.0,31.82,39.0,,13.0,52.0,75.0,43.0,1.0,42.0,86.0,14.33,ls,31.0,15.0,6.0,52.0,10.33
