Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
MATVEEVA Polina,,,1.0,1.0,0.0,,2.0,,2.0,0.0,,,,,,,,,,,1.0,,4.0,5.0,0.33,5,,,,,
KOROLEVA Irina,1.0,,10.0,11.0,0.33,3.0,4.0,5.0,12.0,1.0,3.0,1.0,3.0,7.0,,1.0,,,1.0,,1.0,,1.0,2.0,0.33, 6,2.0,,,2.0,0.67
GONCHAROVA Nataliya,,,8.0,8.0,0.0,2.0,3.0,5.0,10.0,0.67,24.0,1.0,12.0,37.0,62.16,,,,,,,,,,, 8,4.0,2.0,3.0,9.0,1.33
FEDOROVTSEVA Arina,3.0,1.0,9.0,13.0,1.0,2.0,,1.0,3.0,0.67,8.0,5.0,12.0,25.0,12.0,3.0,,8.0,11.0,,,,1.0,1.0,0.0,10,2.0,1.0,2.0,5.0,0.67
LAZAREVA Anna,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,12,,,,,
STARTSEVA Evgeniya,,1.0,8.0,9.0,0.0,3.0,1.0,8.0,12.0,1.0,1.0,,1.0,2.0,,,,,,,40.0,,25.0,65.0,13.33,13,6.0,4.0,,10.0,2.0
FETISOVA Irina,,2.0,3.0,5.0,0.0,3.0,4.0,4.0,11.0,1.0,2.0,,,2.0,,,,,,,,,1.0,1.0,0.0,14,2.0,1.0,,3.0,0.67
VORONKOVA Irina,2.0,,19.0,21.0,0.67,,,5.0,5.0,0.0,9.0,1.0,6.0,16.0,50.0,10.0,,6.0,16.0,62.5,1.0,,3.0,4.0,0.33,16,7.0,5.0,3.0,15.0,2.33
PODKOPAEVA Anna,,,,,,,,,,,,,,,,8.0,,7.0,15.0,53.33,2.0,,3.0,5.0,0.67,19,12.0,5.0,2.0,19.0,4.0
SMIRNOVA Kseniia,,2.0,3.0,5.0,0.0,,1.0,,1.0,0.0,,,1.0,1.0,,,1.0,3.0,4.0,,,,,,,25,1.0,,,1.0,0.33
ENINA Ekaterina,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,
PILIPENKO Daria,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
,total,6.0,62.0,74.0,2.0,13.0,15.0,28.0,56.0,4.33,47.0,8.0,35.0,90.0,43.33,22.0,1.0,24.0,47.0,46.81,45.0,,38.0,83.0,15.0,ls,36.0,18.0,10.0,64.0,12.0
