Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
HANCOCK Micha,,- 1,,1.0,0.0,,,1.0,1.0,0.0,1.0,,,1.0,,,,,,,4.0,,8.0,12.0,1.33, 1,,4.0,,4.0,0.0
POULTER Jordyn,,- 1,4.0,5.0,0.0,1.0,7.0,1.0,9.0,0.33,,,1.0,1.0,,,,,,,24.0,1.0,46.0,71.0,8.0, 2,3.0,2.0,3,8.0,1.0
LARSON Jordan,,-,10.0,10.0,0.0,2.0,2.0,1.0,5.0,0.67,5.0,1.0,8.0,14.0,,16.0,1.0,6.0,23.0,69.57,1.0,,1.0,2.0,0.33,10,4.0,3.0,1,8.0,1.33
DREWS Andrea,,- 1,3.0,4.0,0.0,,4.0,3.0,7.0,0.0,5.0,2.0,7.0,14.0,,,,,,,,,,,,11,7.0,2.0,,9.0,2.33
THOMPSON Jordan,,-,4.0,4.0,0.0,1.0,1.0,,2.0,0.33,5.0,2.0,5.0,12.0,,,,,,,,,1.0,1.0,0.0,12,1.0,1.0,1,3.0,0.33
BARTSCHHACKLEY Michelle,,-,3.0,3.0,0.0,,,1.0,1.0,0.0,4.0,3.0,9.0,16.0,6.25,9.0,3.0,2.0,14.0,,,,1.0,1.0,0.0,14,4.0,2.0,,6.0,1.33
HILL Kimberly,,-,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,15,1.0,,-,1.0,0.33
AKINRADEWO Foluke,,-,3.0,3.0,0.0,1.0,3.0,1.0,5.0,0.33,1.0,,3.0,4.0,,,,,,,,,1.0,1.0,0.0,16,,,-,,
WASHINGTON Haleigh,,-,6.0,6.0,0.0,1.0,6.0,5.0,12.0,0.33,6.0,3.0,5.0,14.0,,,,2.0,2.0,,,,,,,22,3.0,,-,3.0,1.0
ROBINSON Kelsey,1.0,,5.0,6.0,0.33,,,,,,5.0,4.0,6.0,15.0,6.67,1.0,1.0,5.0,7.0,,,,1.0,1.0,0.0,23,1.0,,-,1.0,0.33
OGBOGU Chiaka,,-,5.0,5.0,0.0,2.0,5.0,1.0,8.0,0.67,3.0,1.0,5.0,9.0,,,,,,,,,,,,24,,,-,,
WONGORANTES Justine,,-,,,,,,,,,,,,,,17.0,1.0,4.0,22.0,77.27,3.0,,4.0,7.0,1.0, 4,9.0,4.0,,13.0,3.0
,total,3,48.0,52.0,0.33,8.0,28.0,14.0,50.0,2.67,35.0,16.0,49.0,100.0,19.0,43.0,6.0,19.0,68.0,63.24,32.0,1.0,64.0,97.0,10.67,ls,33.0,18.0,5,56.0,11.0
