Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
OZBAY Cansu,,,7.0,7.0,0.0,,1.0,,1.0,0.0,,1.0,,1.0,,,,,,,9.0,,20.0,29.0,1.8, 3,2.0,1.0,3.0,6.0,0.4
SENOGLU Tugba,,,1.0,1.0,0.0,,,,,,,3.0,,3.0,,1.0,,2.0,3.0,,,,,,, 4,2.0,,,2.0,0.4
ERCAN Seyma,,,10.0,10.0,0.0,,2.0,2.0,4.0,0.0,2.0,3.0,3.0,8.0,,22.0,,7.0,29.0,75.86,,,,,, 5,4.0,5.0,3.0,12.0,0.8
BALADIN Hande,2.0,3.0,10.0,15.0,0.4,2.0,4.0,6.0,12.0,0.4,13.0,5.0,14.0,32.0,25.0,24.0,,8.0,32.0,75.0,2.0,,4.0,6.0,0.4, 7,8.0,8.0,5.0,21.0,1.6
ISMAILOGLU Meliha,,1.0,2.0,3.0,0.0,,2.0,,2.0,0.0,2.0,1.0,3.0,6.0,,5.0,2.0,4.0,11.0,,1.0,,,1.0,0.2, 9,1.0,2.0,,3.0,0.2
AYDEMIR AKYOL Naz,,1.0,10.0,11.0,0.0,1.0,3.0,2.0,6.0,0.2,3.0,,1.0,4.0,,,1.0,,1.0,,35.0,,43.0,78.0,7.0,11,7.0,1.0,2.0,10.0,1.4
BOZ Meryem,,3.0,16.0,19.0,0.0,2.0,4.0,2.0,8.0,0.4,17.0,5.0,17.0,39.0,30.77,,,,,,,,,,,13,2.0,,3.0,5.0,0.4
ERDEM DUNDAR Eda,3.0,1.0,12.0,16.0,0.6,1.0,6.0,9.0,16.0,0.2,10.0,2.0,4.0,16.0,,,,,,,,,5.0,5.0,0.0,14,3.0,3.0,2.0,8.0,0.6
GUNES Zehra,1.0,2.0,13.0,16.0,0.2,4.0,3.0,11.0,18.0,0.8,7.0,6.0,9.0,22.0,,,,,,,2.0,,5.0,7.0,0.4,18,1.0,1.0,,2.0,0.2
AKOZ Simge Sebnem,,,,,,,,,,,1.0,,,1.0,,7.0,1.0,,8.0,,4.0,,7.0,11.0,0.8, 2,10.0,7.0,4.0,21.0,2.0
CALISKAN Kubra,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
KARAKURT Ebrar,1.0,,3.0,4.0,0.2,1.0,2.0,6.0,9.0,0.2,4.0,4.0,7.0,15.0,,,,,,,,,1.0,1.0,0.0,99,,,2.0,2.0,0.0
,total,11.0,84.0,102.0,1.4,11.0,27.0,38.0,76.0,2.2,59.0,30.0,58.0,147.0,19.73,59.0,4.0,21.0,84.0,70.24,53.0,,85.0,138.0,10.6,ls,40.0,28.0,24.0,92.0,8.0
