Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
POULTER Jordyn,,2.0,17.0,19.0,0.0,1.0,4.0,3.0,8.0,0.2,1.0,,,1.0,,,,,,,42.0,,69.0,111.0,8.4, 2,7.0,7.0,5.0,19.0,1.4
HANCOCK Micha,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
LARSON Jordan,1.0,1.0,14.0,16.0,0.2,2.0,5.0,5.0,12.0,0.4,12.0,6.0,17.0,35.0,17.14,19.0,,4.0,23.0,82.61,6.0,,2.0,8.0,1.2,10,6.0,6.0,4.0,16.0,1.2
DREWS Andrea,1.0,,5.0,6.0,0.2,,,1.0,1.0,0.0,7.0,1.0,4.0,12.0,,,,,,,,,,,,11,1.0,4.0,,5.0,0.2
THOMPSON Jordan,1.0,1.0,9.0,11.0,0.2,2.0,1.0,2.0,5.0,0.4,15.0,5.0,14.0,34.0,29.41,,,,,,1.0,,2.0,3.0,0.2,12,2.0,1.0,1.0,4.0,0.4
BARTSCHHACKLEY Michelle,,2.0,9.0,11.0,0.0,,4.0,4.0,8.0,0.0,6.0,6.0,10.0,22.0,,23.0,2.0,6.0,31.0,74.19,2.0,,2.0,4.0,0.4,14,5.0,1.0,3.0,9.0,1.0
HILL Kimberly,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,15,,,,,
AKINRADEWO Foluke,,1.0,11.0,12.0,0.0,5.0,5.0,3.0,13.0,1.0,4.0,1.0,7.0,12.0,,1.0,,,1.0,,,,,,,16,,1.0,4.0,5.0,0.0
WASHINGTON Haleigh,1.0,1.0,12.0,14.0,0.2,5.0,4.0,5.0,14.0,1.0,7.0,1.0,6.0,14.0,,,,,,,,,,,,22,1.0,3.0,1.0,5.0,0.2
ROBINSON Kelsey,,3.0,4.0,7.0,0.0,1.0,1.0,1.0,3.0,0.2,4.0,3.0,5.0,12.0,,4.0,3.0,1.0,8.0,,,,1.0,1.0,0.0,23,1.0,1.0,,2.0,0.2
OGBOGU Chiaka,,,3.0,3.0,0.0,,,,,,1.0,,,1.0,,,,,,,,,,,,24,,,1.0,1.0,0.0
WONGORANTES Justine,,,,,,,,,,,,,,,,20.0,1.0,4.0,25.0,80.0,3.0,,3.0,6.0,0.6, 4,11.0,7.0,4.0,22.0,2.2
,total,12.0,85.0,101.0,0.8,16.0,24.0,24.0,64.0,3.2,57.0,23.0,63.0,143.0,23.78,67.0,6.0,15.0,88.0,76.14,54.0,,79.0,133.0,10.8,ls,34.0,31.0,23.0,88.0,6.8
