Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
de OLIVEIRA SAAD GATTAZ Caroline,2.0,1.0,10.0,13.0,0.5,3.0,4.0,10.0,17.0,0.75,11.0,1.0,4.0,16.0,,,,,,,,,1.0,1.0,0.0, 2,3.0,1.0,,4.0,0.75
MONTIBELLER Rosamaria,2.0,1.0,6.0,9.0,0.5,6.0,7.0,4.0,17.0,1.5,8.0,5.0,8.0,21.0,14.29,,1.0,,1.0,,,,,,, 7,4.0,4.0,1.0,9.0,1.0
SILVA CARNEIRO Macris Fernanda,1.0,,9.0,10.0,0.25,,2.0,5.0,7.0,0.0,,,,,,,,,,,31.0,,43.0,74.0,7.75, 8,3.0,1.0,2.0,6.0,0.75
RATZKE Roberta Silva,,,4.0,4.0,0.0,,1.0,2.0,3.0,0.0,,,,,,,,,,,17.0,,28.0,45.0,4.25, 9,,2.0,,2.0,0.0
BRAGA GUIMARAES Gabriela,1.0,1.0,19.0,21.0,0.25,1.0,4.0,2.0,7.0,0.25,16.0,4.0,15.0,35.0,34.29,22.0,1.0,5.0,28.0,78.57,,,1.0,1.0,0.0,10,9.0,4.0,1.0,14.0,2.25
CAIXETA Tandara,,1.0,1.0,2.0,0.0,,2.0,3.0,5.0,0.0,6.0,3.0,10.0,19.0,,,,,,,,,,,,11,4.0,1.0,1.0,6.0,1.0
PEREIRA Natalia,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,12,,,,,
da SILVA Ana Carolina,,,19.0,19.0,0.0,4.0,8.0,5.0,17.0,1.0,6.0,5.0,9.0,20.0,,1.0,,,1.0,,1.0,1.0,,2.0,0.25,15,6.0,1.0,1.0,8.0,1.5
RODRIGUES Fernanda,,,17.0,17.0,0.0,2.0,4.0,5.0,11.0,0.5,12.0,4.0,11.0,27.0,29.63,17.0,,7.0,24.0,70.83,3.0,,,3.0,0.75,16,10.0,5.0,1.0,16.0,2.5
MENEZES OLIVEIRA de SOUZA Ana Cris.,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
BRAIT Camila,,,,,,,,,,,,,,,,16.0,,9.0,25.0,64.0,3.0,,,3.0,0.75,18,12.0,6.0,2.0,20.0,3.0
CORREA Ana Beatriz,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
,total,4.0,87.0,97.0,1.5,16.0,32.0,36.0,84.0,4.0,59.0,22.0,57.0,138.0,26.81,56.0,2.0,21.0,79.0,70.89,55.0,1.0,73.0,129.0,13.75,ls,51.0,25.0,9.0,85.0,12.75
