Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VARGAS VALDEZ Annerys Victoria,,,5.0,5.0,0.0,1.0,4.0,3.0,8.0,0.33,4.0,1.0,,5.0,,1.0,,,1.0,,,,1.0,1.0,0.0, 1,2.0,2.0,1.0,5.0,0.67
MARTE FRICA Niverka Dharlenis,,2.0,6.0,8.0,0.0,,3.0,3.0,6.0,0.0,,,2.0,2.0,,,,1.0,1.0,,22.0,1.0,33.0,56.0,7.33, 7,6.0,2.0,2.0,10.0,2.0
RIVERA BRENS Prisilla,,1.0,11.0,12.0,0.0,,3.0,3.0,6.0,0.0,7.0,4.0,7.0,18.0,16.67,9.0,2.0,12.0,23.0,39.13,,,,,,14,3.0,5.0,1.0,9.0,1.0
PENA ISABEL Yonkaira Paola,,,6.0,6.0,0.0,,,2.0,2.0,0.0,,1.0,4.0,5.0,,4.0,,1.0,5.0,,,,,,,16,3.0,4.0,1.0,8.0,1.0
de la CRUZ de PENA Bethania,,1.0,4.0,5.0,0.0,,4.0,2.0,6.0,0.0,2.0,3.0,8.0,13.0,,4.0,2.0,3.0,9.0,,,,,,,18,1.0,,,1.0,0.33
MARTINEZ Brayelin Elizabeth,,,7.0,7.0,0.0,1.0,5.0,,6.0,0.33,15.0,5.0,14.0,34.0,29.41,1.0,,1.0,2.0,,,,2.0,2.0,0.0,20,2.0,5.0,3.0,10.0,0.67
MARTINEZ Jineiry,,1.0,6.0,7.0,0.0,3.0,4.0,8.0,15.0,1.0,3.0,1.0,7.0,11.0,,,,,,,,,1.0,1.0,0.0,21,1.0,2.0,3.0,6.0,0.33
GONZALEZ LOPEZ Gaila Ceneida,,,,,,,,2.0,2.0,0.0,1.0,,2.0,3.0,,,,,,,,,,,,23,,1.0,,1.0,0.0
MARTINEZ CARO Larysmer,,1.0,1.0,2.0,0.0,,,,,,,,1.0,1.0,,4.0,1.0,2.0,7.0,,,,,,,25,4.0,,,4.0,1.33
EVE MEJIA Lisvel Elisa,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
CASTILLO Brenda,,,,,,,,,,,,,,,,10.0,1.0,2.0,13.0,,9.0,,16.0,25.0,3.0, 5,9.0,6.0,3.0,18.0,3.0
DOMINGUEZ MARTINEZ Camil Inmaculada,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,4.0,0.33, 6,,1.0,,1.0,0.0
,total,6.0,46.0,52.0,0.0,5.0,23.0,23.0,51.0,1.67,32.0,15.0,45.0,92.0,18.48,33.0,6.0,22.0,61.0,54.1,32.0,1.0,56.0,89.0,10.67,ls,31.0,28.0,14.0,73.0,10.33
