Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
OZBAY Cansu,,- 3,10.0,13.0,0.0,1.0,5.0,3.0,9.0,0.2,1.0,,2.0,3.0,,,,1.0,1.0,,52.0,1.0,45.0,98.0,10.4, 3,8.0,5.0,,13.0,1.6
SENOGLU Tugba,,-,4.0,4.0,0.0,1.0,,1.0,2.0,0.2,7.0,2.0,1.0,10.0,,2.0,,4.0,6.0,,,,,,, 4,,1.0,,1.0,0.0
ERCAN Seyma,2.0,,11.0,13.0,0.4,1.0,1.0,4.0,6.0,0.2,1.0,1.0,3.0,5.0,,8.0,,6.0,14.0,,,,,,, 5,8.0,7.0,1,16.0,1.6
BALADIN Hande,,- 1,5.0,6.0,0.0,1.0,,,1.0,0.2,2.0,2.0,4.0,8.0,,4.0,2.0,8.0,14.0,,,,,,, 7,4.0,2.0,2,8.0,0.8
ISMAILOGLU Meliha,1.0,1,14.0,16.0,0.2,1.0,,1.0,2.0,0.2,6.0,3.0,8.0,17.0,,21.0,1.0,13.0,35.0,60.0,,,1.0,1.0,0.0, 9,14.0,7.0,,21.0,2.8
AYDEMIR AKYOL Naz,,-,,,,1.0,,,1.0,0.2,,,,,,,,,,,3.0,,12.0,15.0,0.6,11,5.0,,-,5.0,1.0
BOZ Meryem,1.0,1,20.0,22.0,0.2,1.0,2.0,3.0,6.0,0.2,22.0,4.0,24.0,50.0,36.0,,,,,,,,,,,13,7.0,4.0,1,12.0,1.4
ERDEM DUNDAR Eda,,- 3,6.0,9.0,0.0,5.0,4.0,11.0,20.0,1.0,10.0,3.0,5.0,18.0,,,,,,,1.0,,7.0,8.0,0.2,14,1.0,1.0,,2.0,0.2
GUNES Zehra,1.0,2,16.0,19.0,0.2,4.0,7.0,14.0,25.0,0.8,9.0,1.0,7.0,17.0,,,,,,,,,2.0,2.0,0.0,18,3.0,6.0,,9.0,0.6
AKOZ Simge Sebnem,,-,,,,,,,,,,,,,,12.0,1.0,7.0,20.0,,4.0,,11.0,15.0,0.8, 2,12.0,7.0,,19.0,2.4
CALISKAN Kubra,,-,,,,,,,,,,,,,,,,,,,,,,,,6,,,-,,
KARAKURT Ebrar,2.0,,1.0,3.0,0.4,,3.0,3.0,6.0,0.0,5.0,5.0,6.0,16.0,,,,,,,1.0,,,1.0,0.2,99,,,-,,
,total,11,87.0,105.0,1.4,16.0,22.0,40.0,78.0,3.2,63.0,21.0,60.0,144.0,29.17,47.0,4.0,39.0,90.0,52.22,61.0,1.0,78.0,140.0,12.2,ls,62.0,40.0,4,106.0,12.4
