Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SOROKAITE Indre,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,,,,,
MALINOV Ofelia,,,3.0,3.0,0.0,1.0,1.0,,2.0,0.33,,,,,,,,,,,9.0,,13.0,22.0,3.0, 5,2.0,,1.0,3.0,0.67
FOLIE Raphaela,1.0,,2.0,3.0,0.33,,,,,,1.0,,,1.0,,,,,,,,,,,,7,,,,,
ORRO Alessia,,,5.0,5.0,0.0,1.0,2.0,1.0,4.0,0.33,,,,,,,,,,,20.0,,33.0,53.0,6.67, 8,1.0,2.0,,3.0,0.33
BOSETTI Caterina Chiara,,,10.0,10.0,0.0,,4.0,4.0,8.0,0.0,6.0,6.0,4.0,16.0,,18.0,,7.0,25.0,72.0,2.0,,4.0,6.0,0.67, 9,4.0,3.0,2.0,9.0,1.33
CHIRICHELLA Cristina,,,3.0,3.0,0.0,1.0,5.0,4.0,10.0,0.33,,,4.0,4.0,,,,,,,,,,,,10,,1.0,,1.0,0.0
DANESI Anna,,,8.0,8.0,0.0,3.0,3.0,4.0,10.0,1.0,3.0,,3.0,6.0,,,,,,,,,,,,11,1.0,1.0,1.0,3.0,0.33
FAHR Sarah Luisa,,1.0,2.0,3.0,0.0,1.0,4.0,1.0,6.0,0.33,1.0,2.0,1.0,4.0,,,,,,,,,,,,13,1.0,,,1.0,0.33
PIETRINI Elena,,1.0,9.0,10.0,0.0,,,1.0,1.0,0.0,7.0,2.0,6.0,15.0,33.33,12.0,1.0,10.0,23.0,52.17,,,2.0,2.0,0.0,14,6.0,4.0,1.0,11.0,2.0
SYLLA Miryam Fatime,,,,,,,,,,,,2.0,1.0,3.0,,1.0,1.0,3.0,5.0,,,,,,,17,,,,,
EGONU Paola Ogechi,1.0,1.0,9.0,11.0,0.33,,5.0,,5.0,0.0,15.0,13.0,17.0,45.0,4.44,,,,,,1.0,,1.0,2.0,0.33,18,2.0,2.0,,4.0,0.67
de GENNARO Monica,,,,,,,,1.0,1.0,0.0,,,,,,10.0,,4.0,14.0,,1.0,,4.0,5.0,0.33, 6,4.0,6.0,,10.0,1.33
,total,4.0,51.0,57.0,0.67,7.0,24.0,16.0,47.0,2.33,33.0,25.0,36.0,94.0,8.51,41.0,2.0,24.0,67.0,61.19,33.0,,57.0,90.0,11.0,ls,21.0,19.0,5.0,45.0,7.0
