Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
BUSA Bianka,,1.0,11.0,12.0,0.0,,2.0,1.0,3.0,0.0,5.0,2.0,4.0,11.0,,4.0,,2.0,6.0,,3.0,,,3.0,1.0, 1,6.0,1.0,,7.0,2.0
POPOVIC Mina,,,21.0,21.0,0.0,2.0,7.0,4.0,13.0,0.67,4.0,1.0,3.0,8.0,,1.0,,,1.0,,2.0,,,2.0,0.67, 5,1.0,,,1.0,0.33
OGNJENOVIC Maja,2.0,1.0,17.0,20.0,0.67,,2.0,3.0,5.0,0.0,2.0,,,2.0,,,1.0,1.0,2.0,,31.0,,33.0,64.0,10.33,10,8.0,6.0,1.0,15.0,2.67
BJELICA Ana,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
ALEKSIC Maja,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
RASIC Milena,,1.0,4.0,5.0,0.0,3.0,5.0,3.0,11.0,1.0,7.0,2.0,4.0,13.0,38.46,,,,,,,,,,,16,,1.0,,1.0,0.0
POPOVIC Silvija,,,,,,,,,,,,,,,,7.0,,6.0,13.0,53.85,3.0,,,3.0,1.0,17,8.0,1.0,,9.0,2.67
BOSKOVIC Tijana,,3.0,4.0,7.0,0.0,3.0,2.0,5.0,10.0,1.0,21.0,9.0,10.0,40.0,30.0,,,,,,,,1.0,1.0,0.0,18,6.0,3.0,,9.0,2.0
MILENKOVIC Bojana,,,9.0,9.0,0.0,2.0,4.0,3.0,9.0,0.67,4.0,2.0,4.0,10.0,,18.0,1.0,5.0,24.0,75.0,1.0,,1.0,2.0,0.33,19,3.0,,1.0,4.0,1.0
BLAGOJEVIC Jelena,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
MIRKOVIC Sladjana,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
MIHAJLOVIC Brankica,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
,total,6.0,66.0,74.0,0.67,10.0,22.0,19.0,51.0,3.33,43.0,16.0,25.0,84.0,32.14,30.0,2.0,14.0,46.0,65.22,40.0,,35.0,75.0,13.33,ls,32.0,12.0,2.0,46.0,10.67
