Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
LEE Soyoung,,,3.0,3.0,0.0,,1.0,2.0,3.0,0.0,2.0,2.0,3.0,7.0,,4.0,2.0,6.0,12.0,,,,,,, 1,1.0,,,1.0,0.33
YEUM Hye Seon,1.0,1.0,5.0,7.0,0.33,,,1.0,1.0,0.0,,,,,,,,,,,21.0,1.0,44.0,66.0,7.0, 3,10.0,2.0,1.0,13.0,3.33
KIM Heejin,1.0,1.0,5.0,7.0,0.33,,,4.0,4.0,0.0,4.0,7.0,10.0,21.0,,,,,,,,,1.0,1.0,0.0, 4,2.0,3.0,,5.0,0.67
AN Hyejin,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,7.0,,10.0,17.0,2.33, 7,,1.0,,1.0,0.0
PARK Eunjin,,1.0,1.0,2.0,0.0,,1.0,3.0,4.0,0.0,,2.0,1.0,3.0,,,,,,,,,1.0,1.0,0.0, 8,1.0,,,1.0,0.33
KIM Yeon Koung,,,9.0,9.0,0.0,,,1.0,1.0,0.0,10.0,4.0,13.0,27.0,22.22,6.0,,8.0,14.0,,1.0,,4.0,5.0,0.33,10,9.0,9.0,,18.0,3.0
KIM Su Ji,,1.0,5.0,6.0,0.0,1.0,3.0,,4.0,0.33,2.0,,1.0,3.0,,,,,,,,,,,,11,,1.0,,1.0,0.0
PARK Jeongah,,,5.0,5.0,0.0,,2.0,2.0,4.0,0.0,10.0,5.0,18.0,33.0,15.15,9.0,1.0,14.0,24.0,37.5,,,2.0,2.0,0.0,13,3.0,6.0,,9.0,1.0
YANG Hyo Jin,,,7.0,7.0,0.0,2.0,2.0,5.0,9.0,0.67,2.0,1.0,2.0,5.0,,,,,,,,,2.0,2.0,0.0,14,3.0,1.0,1.0,5.0,1.0
JEONG Jiyun,,,1.0,1.0,0.0,,,,,,2.0,2.0,,4.0,,,,,,,,,,,,16,,,,,
PYO Seungju,,,1.0,1.0,0.0,,,,,,,,,,,3.0,,1.0,4.0,,,,,,,19,,1.0,,1.0,0.0
OH Jiyoung,,,,,,,,,,,,,,,,8.0,1.0,3.0,12.0,,2.0,,7.0,9.0,0.67, 9,13.0,8.0,1.0,22.0,4.33
,total,4.0,44.0,50.0,0.67,3.0,9.0,18.0,30.0,1.0,32.0,23.0,48.0,103.0,8.74,30.0,4.0,32.0,66.0,45.45,31.0,1.0,71.0,103.0,10.33,ls,42.0,32.0,3.0,77.0,14.0
