Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
POULTER Jordyn,,2.0,11.0,13.0,0.0,2.0,3.0,1.0,6.0,0.67,,,,,,,,,,,32.0,1.0,39.0,72.0,10.67, 2,5.0,2.0,4.0,11.0,1.67
HANCOCK Micha,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
LARSON Jordan,2.0,,13.0,15.0,0.67,2.0,1.0,2.0,5.0,0.67,11.0,4.0,5.0,20.0,35.0,20.0,,15.0,35.0,57.14,1.0,,3.0,4.0,0.33,10,8.0,3.0,3.0,14.0,2.67
DREWS Andrea,3.0,3.0,5.0,11.0,1.0,2.0,4.0,1.0,7.0,0.67,12.0,5.0,15.0,32.0,21.88,,,,,,,,1.0,1.0,0.0,11,2.0,1.0,2.0,5.0,0.67
THOMPSON Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
BARTSCHHACKLEY Michelle,,1.0,15.0,16.0,0.0,2.0,2.0,2.0,6.0,0.67,7.0,6.0,12.0,25.0,4.0,5.0,,1.0,6.0,,1.0,,3.0,4.0,0.33,14,8.0,5.0,,13.0,2.67
HILL Kimberly,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,15,,,,,
AKINRADEWO Foluke,,1.0,9.0,10.0,0.0,3.0,4.0,3.0,10.0,1.0,5.0,,3.0,8.0,,,,,,,2.0,,3.0,5.0,0.67,16,,2.0,,2.0,0.0
WASHINGTON Haleigh,1.0,1.0,5.0,7.0,0.33,1.0,2.0,3.0,6.0,0.33,5.0,,1.0,6.0,,,,,,,,,,,,22,2.0,,,2.0,0.67
ROBINSON Kelsey,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
OGBOGU Chiaka,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
WONGORANTES Justine,,,,,,,,,,,,,,,,6.0,,2.0,8.0,,3.0,,1.0,4.0,1.0, 4,6.0,3.0,3.0,12.0,2.0
,total,8.0,59.0,73.0,2.0,12.0,16.0,12.0,40.0,4.0,40.0,15.0,36.0,91.0,27.47,31.0,,18.0,49.0,63.27,39.0,1.0,50.0,90.0,13.0,ls,31.0,16.0,12.0,59.0,10.33
